Wavelength (nm),Sum,Fe I (4.4e-02),Fe II (9.5e-01),Fe III (2.2e-03)
254.3,6.847e+4,6.185e+3,6.229e+4,
254.6,6.219e+4,5.173e+3,5.701e+4,
254.8,5.813e+4,4.466e+3,5.367e+4,
255.1,5.312e+4,3.403e+3,4.972e+4,
255.3,5.080e+4,2.732e+3,4.807e+4,
255.6,4.887e+4,1.851e+3,4.702e+4,
255.8,4.835e+4,1.374e+3,4.698e+4,
256.1,4.806e+4,8.425e+2,4.721e+4,
256.3,4.783e+4,6.037e+2,4.722e+4,
256.6,4.725e+4,3.901e+2,4.686e+4,
256.8,4.695e+4,3.229e+2,4.663e+4,
257.1,4.754e+4,2.993e+2,4.724e+4,
257.3,4.933e+4,3.170e+2,4.902e+4,
257.6,5.533e+4,3.680e+2,5.497e+4,
257.8,6.209e+4,4.062e+2,6.169e+4,
258.1,7.694e+4,4.542e+2,7.648e+4,
258.3,9.003e+4,4.740e+2,8.956e+4,
258.6,1.140e+5,4.824e+2,1.135e+5,
258.8,1.322e+5,4.759e+2,1.317e+5,
259.1,1.606e+5,4.569e+2,1.601e+5,
259.3,1.785e+5,4.445e+2,1.781e+5,
259.6,2.008e+5,4.348e+2,2.004e+5,
259.8,2.109e+5,4.363e+2,2.104e+5,
260.1,2.171e+5,4.482e+2,2.167e+5,
260.3,2.155e+5,4.589e+2,2.150e+5,
260.6,2.058e+5,4.718e+2,2.053e+5,
260.8,1.960e+5,4.754e+2,1.956e+5,
261.1,1.794e+5,4.720e+2,1.789e+5,
261.3,1.683e+5,4.651e+2,1.679e+5,
261.6,1.536e+5,4.520e+2,1.531e+5,
261.8,1.454e+5,4.436e+2,1.449e+5,
262.1,1.354e+5,4.339e+2,1.350e+5,
262.3,1.297e+5,4.297e+2,1.293e+5,
262.6,1.212e+5,4.259e+2,1.208e+5,
262.8,1.145e+5,4.241e+2,1.140e+5,
263.1,1.017e+5,4.201e+2,1.013e+5,
263.3,9.121e+4,4.154e+2,9.079e+4,
263.6,7.332e+4,4.031e+2,7.292e+4,
263.8,6.086e+4,3.905e+2,6.047e+4,
264.1,4.316e+4,3.649e+2,4.279e+4,
264.3,3.292e+4,3.442e+2,3.258e+4,
264.6,2.085e+4,3.110e+2,2.054e+4,
264.8,1.511e+4,2.901e+2,1.482e+4,
265.1,9.620e+3,2.649e+2,9.355e+3,
265.3,7.645e+3,2.543e+2,7.391e+3,
265.6,6.428e+3,2.496e+2,6.178e+3,
265.8,6.347e+3,2.538e+2,6.093e+3,
266.1,6.706e+3,2.688e+2,6.438e+3,
266.3,7.000e+3,2.829e+2,6.717e+3,
266.6,7.234e+3,3.068e+2,6.927e+3,
266.8,7.182e+3,3.228e+2,6.859e+3,
267.1,6.818e+3,3.444e+2,6.473e+3,
267.3,6.460e+3,3.563e+2,6.104e+3,
267.6,5.921e+3,3.690e+2,5.552e+3,
267.8,5.646e+3,3.738e+2,5.273e+3,
268.1,5.450e+3,3.762e+2,5.074e+3,
268.3,5.473e+3,3.759e+2,5.097e+3,
268.6,5.710e+3,3.779e+2,5.332e+3,
268.8,5.979e+3,3.856e+2,5.594e+3,
269.1,6.534e+3,4.197e+2,6.114e+3,
269.3,7.023e+3,4.679e+2,6.555e+3,
269.6,8.010e+3,6.019e+2,7.408e+3,
269.8,8.889e+3,7.488e+2,8.140e+3,
270.1,1.061e+4,1.085e+3,9.527e+3,
270.3,1.204e+4,1.399e+3,1.064e+4,
270.6,1.455e+4,2.013e+3,1.254e+4,
270.8,1.641e+4,2.505e+3,1.390e+4,
271.1,1.937e+4,3.313e+3,1.606e+4,
271.3,2.146e+4,3.850e+3,1.761e+4,
271.6,2.493e+4,4.551e+3,2.038e+4,
271.8,2.770e+4,4.896e+3,2.280e+4,
272.1,3.319e+4,5.173e+3,2.802e+4,
272.3,3.824e+4,5.194e+3,3.304e+4,
272.6,4.878e+4,5.021e+3,4.376e+4,
272.8,5.823e+4,4.812e+3,5.342e+4,
273.1,7.630e+4,4.435e+3,7.186e+4,
273.3,9.071e+4,4.177e+3,8.654e+4,
273.6,1.146e+5,3.810e+3,1.108e+5,
273.8,1.309e+5,3.581e+3,1.273e+5,
274.1,1.530e+5,3.251e+3,1.498e+5,
274.3,1.646e+5,3.032e+3,1.616e+5,
274.6,1.749e+5,2.700e+3,1.722e+5,
274.8,1.761e+5,2.478e+3,1.737e+5,
275.1,1.691e+5,2.154e+3,1.670e+5,
275.3,1.591e+5,1.951e+3,1.572e+5,
275.6,1.382e+5,1.676e+3,1.365e+5,
275.8,1.217e+5,1.516e+3,1.202e+5,
276.1,9.617e+4,1.313e+3,9.486e+4,
276.3,7.991e+4,1.203e+3,7.871e+4,
276.6,5.842e+4,1.076e+3,5.734e+4,
276.8,4.656e+4,1.018e+3,4.554e+4,
277.1,3.271e+4,9.710e+2,3.174e+4,
277.3,2.589e+4,9.669e+2,2.493e+4,
277.6,1.863e+4,9.979e+2,1.763e+4,
277.8,1.531e+4,1.038e+3,1.427e+4,
278.1,1.187e+4,1.111e+3,1.076e+4,
278.3,1.025e+4,1.157e+3,9.093e+3,
278.6,8.397e+3,1.202e+3,7.195e+3,
278.8,7.387e+3,1.209e+3,6.178e+3,
279.1,6.065e+3,1.180e+3,4.885e+3,
279.3,5.284e+3,1.141e+3,4.143e+3,
279.6,4.260e+3,1.066e+3,3.195e+3,
279.8,3.686e+3,1.016e+3,2.670e+3,
280.1,2.997e+3,9.577e+2,2.040e+3,
280.3,2.652e+3,9.326e+2,1.720e+3,
280.6,2.292e+3,9.137e+2,1.378e+3,
280.8,2.146e+3,9.087e+2,1.238e+3,
281.1,2.057e+3,9.029e+2,1.154e+3,
