,Wavelength,Sum,Li I (2.0e-02),Li II (9.8e-01),Li III (1.7e-28)
212,239.53,65.79,65.79,5.747e-28,0
213,239.58,53.83,53.83,1.8559999999999998e-27,0
214,239.63,40.37,40.37,5.499e-27,0
215,239.68,27.75,27.75,1.4930000000000003e-26,0
216,239.73,17.48,17.48,3.7209999999999997e-26,0
217,239.78,10.09,10.09,8.498e-26,0
218,239.83,5.337999999999999,5.337999999999999,1.7799999999999998e-25,0
219,239.88,2.588,2.588,3.4100000000000004e-25,0
220,239.93,1.15,1.15,6.026e-25,0
221,239.98,0.4683,0.4683,9.735e-25,0
222,240.03,0.1748,0.1748,1.4409999999999998e-24,0
223,240.08,0.0597,0.0597,1.95e-24,0
224,240.13,0.01874,0.01874,2.4419999999999997e-24,0
225,240.18,0.005386999999999999,0.005386999999999999,2.79e-24,0
226,240.23,0.001418,0.001418,2.9239999999999998e-24,0
227,240.28,0.0003423,0.0003423,2.81e-24,0
228,240.33,7.572e-05,7.572e-05,2.475e-24,0
229,240.38,1.535e-05,1.535e-05,2.001e-24,0
230,240.43,2.85e-06,2.85e-06,1.483e-24,0
231,240.48,4.854999999999999e-07,4.854999999999999e-07,1.008e-24,0
232,240.53,7.575e-08,7.575e-08,6.281000000000001e-25,0
233,240.58,1.083e-08,1.083e-08,3.58e-25,0
234,240.63,1.4199999999999999e-09,1.4199999999999999e-09,1.881e-25,0
235,240.68,1.7059999999999998e-10,1.7059999999999998e-10,9.047e-26,0
236,240.73,1.877e-11,1.877e-11,3.987e-26,0
237,240.78,1.893e-12,1.893e-12,1.612e-26,0
238,240.83,1.752e-13,1.752e-13,5.977e-27,0
239,240.88,1.483e-14,1.483e-14,2.031e-27,0
240,240.93,6.334999999999999e-28,0,6.334999999999999e-28,0
241,240.98,1.812e-28,0,1.812e-28,0
242,241.03,4.7499999999999996e-29,0,4.7499999999999996e-29,0
243,241.08,2.1019999999999998e-14,2.1019999999999998e-14,1.1419999999999999e-29,0
244,241.13,2.412e-13,2.412e-13,2.519e-30,0
245,241.18,2.54e-12,2.54e-12,5.093999999999999e-31,0
246,241.23,2.4559999999999997e-11,2.4559999999999997e-11,9.447e-32,0
247,241.28,2.183e-10,2.183e-10,1.6059999999999997e-32,0
248,241.33,1.7799999999999999e-09,1.7799999999999999e-09,2.5049999999999998e-33,0
249,241.38,1.335e-08,1.335e-08,3.5839999999999997e-34,0
250,241.43,9.193999999999999e-08,9.193999999999999e-08,4.700999999999999e-35,0
251,241.48,5.814000000000001e-07,5.814000000000001e-07,5.657e-36,0
252,241.53,3.378e-06,3.378e-06,6.2409999999999994e-37,0
253,241.58,1.802e-05,1.802e-05,6.432e-38,0
254,241.63,8.833e-05,8.833e-05,1.8189999999999998e-38,0
255,241.68,0.00039760000000000007,0.00039760000000000007,1.16e-37,0
