,Wavelength,Sum,C I (6.9e-01),C II (3.1e-01),C III (8.0e-08)
4072,437.44,5.425,5.425,0,3.6950000000000004e-19
4073,437.49,4.5760000000000005,4.5760000000000005,0,4.919e-19
4074,437.54,3.761,3.761,0,6.405e-19
4075,437.59,3.011,3.011,0,8.163e-19
4076,437.64,2.3480000000000003,2.3480000000000003,0,1.0190000000000001e-18
4077,437.69,1.784,1.784,0,1.246e-18
4078,437.74,1.321,1.321,0,1.495e-18
4079,437.79,0.9521,0.9521,0,1.761e-18
4080,437.84,0.6688,0.6688,0,2.0359999999999998e-18
4081,437.89,0.4576,0.4576,0,2.314e-18
4082,437.94,0.3051,0.3051,0,2.5869999999999998e-18
4083,437.99,0.1981,0.1981,0,2.848e-18
4084,438.04,0.1253,0.1253,0,3.0919999999999998e-18
4085,438.09,0.07723,0.07723,0,3.3119999999999998e-18
4086,438.14,0.04637,0.04637,0,3.5049999999999995e-18
4087,438.19,0.02712,0.02712,0,3.671e-18
4088,438.24,0.01545,0.01545,0,3.811000000000001e-18
4089,438.29,0.008575,0.008575,0,3.928e-18
4090,438.34,0.004637,0.004637,0,4.0239999999999995e-18
4091,438.39,0.002442,0.002442,0,4.104e-18
4092,438.44,0.001253,0.001253,0,4.17e-18
4093,438.49,0.0006263999999999999,0.0006263999999999999,0,4.222e-18
4094,438.54,0.0003051,0.0003051,0,4.26e-18
4095,438.59,0.0001447,0.0001447,0,4.277e-18
4096,438.64,6.688e-05,6.688e-05,0,4.269e-18
4097,438.69,3.011e-05,3.011e-05,0,4.225e-18
4098,438.74,1.321e-05,1.321e-05,0,4.14e-18
4099,438.79,5.642e-06,5.642e-06,0,4.005e-18
4100,438.84,2.3480000000000002e-06,2.3480000000000002e-06,0,3.8189999999999995e-18
4101,438.89,9.522e-07,9.522e-07,0,3.582e-18
4102,438.94,3.761e-07,3.761e-07,0,3.299e-18
4103,438.99,1.4470000000000002e-07,1.4470000000000002e-07,0,2.98e-18
4104,439.04,5.425e-08,5.425e-08,0,2.636e-18
4105,439.09,1.981e-08,1.981e-08,0,2.283e-18
4106,439.14,7.047e-09,7.047e-09,0,1.933e-18
4107,439.19,2.442e-09,2.442e-09,0,1.6e-18
4108,439.24,8.245e-10,8.245e-10,0,1.294e-18
4109,439.29,2.712e-10,2.712e-10,0,1.0229999999999999e-18
4110,439.34,8.688e-11,8.688e-11,0,7.892e-19
4111,439.39,2.712e-11,2.712e-11,0,5.952000000000001e-19
4112,439.44,8.245e-12,8.245e-12,0,4.388999999999999e-19
4113,439.49,2.442e-12,2.442e-12,0,3.1689999999999998e-19
4114,439.54,7.047e-13,7.047e-13,0,2.251e-19
4115,439.59,1.981e-13,1.981e-13,0,1.588e-19
4116,439.64,5.425e-14,5.425e-14,0,1.137e-19
4117,439.69,1.4469999999999997e-14,1.4469999999999997e-14,0,8.609999999999999e-20
4118,439.74,3.761e-15,3.761e-15,0,7.331000000000001e-20
4119,439.79,9.522e-16,9.522e-16,0,7.353999999999999e-20
4120,439.84,8.595e-20,0,0,8.595e-20
4121,439.89,1.105e-19,0,0,1.105e-19
4122,439.94,1.477e-19,0,0,1.477e-19
4123,439.99,1.9819999999999998e-19,0,0,1.9819999999999998e-19
4124,440.04,2.6260000000000005e-19,0,0,2.6260000000000005e-19
4125,440.09,3.411e-19,0,0,3.411e-19
4126,440.14,4.327e-19,0,0,4.327e-19
4127,440.19,5.354000000000001e-19,0,0,5.354000000000001e-19
4128,440.24,6.46e-19,0,0,6.46e-19
4129,440.29,7.597e-19,0,0,7.597e-19
4130,440.34,8.708e-19,0,0,8.708e-19
4131,440.39,9.728000000000001e-19,0,0,9.728000000000001e-19
4132,440.44,1.0590000000000001e-18,0,0,1.0590000000000001e-18
4133,440.49,1.124e-18,0,0,1.124e-18
4134,440.54,1.162e-18,0,0,1.162e-18
4135,440.59,1.171e-18,0,0,1.171e-18
4136,440.64,1.15e-18,0,0,1.15e-18
4137,440.69,1.101e-18,0,0,1.101e-18
4138,440.74,1.027e-18,0,0,1.027e-18
4139,440.79,9.334999999999999e-19,0,0,9.334999999999999e-19
4140,440.84,8.270999999999999e-19,0,0,8.270999999999999e-19
4141,440.89,7.141e-19,0,0,7.141e-19
4142,440.94,6.009e-19,0,0,6.009e-19
4143,440.99,4.928e-19,0,0,4.928e-19
4144,441.04,3.939e-19,0,0,3.939e-19
4145,441.09,3.068e-19,0,0,3.068e-19
4146,441.14,2.329e-19,0,0,2.329e-19
4147,441.19,1.7230000000000001e-19,0,0,1.7230000000000001e-19
4148,441.24,1.242e-19,0,0,1.242e-19
4149,441.29,8.728e-20,0,0,8.728e-20
4150,441.34,5.977000000000001e-20,0,0,5.977000000000001e-20
4151,441.39,3.989e-20,0,0,3.989e-20
4152,441.44,2.5939999999999996e-20,0,0,2.5939999999999996e-20
4153,441.49,1.6440000000000002e-20,0,0,1.6440000000000002e-20
