,Wavelength,Sum,B I (2.9e-01),B II (7.1e-01),B III (9.5e-07)
92,204.72,1.787e-08,0,1.787e-08,0
93,204.77,2.842e-09,0,2.842e-09,0
94,204.82,4.0080000000000005e-10,0,4.0080000000000005e-10,0
95,204.87,5.014e-11,0,5.014e-11,0
96,204.92,5.561e-12,0,5.561e-12,0
97,204.97,5.469e-13,0,5.469e-13,0
98,205.02,4.77e-14,0,4.77e-14,0
99,205.07,3.689e-15,0,3.689e-15,0
100,205.12,2.5299999999999997e-16,0,2.5299999999999997e-16,0
101,205.17,1.5390000000000002e-17,0,1.5390000000000002e-17,0
102,205.22,8.3e-19,0,8.3e-19,0
103,205.32,1.683e-16,0,0,1.683e-16
104,205.37,1.411e-13,1.38e-13,0,3.0399999999999997e-15
105,205.42,4.887e-12,4.838e-12,0,4.885e-14
106,205.47,8.395999999999999e-11,8.326e-11,0,6.983e-13
107,205.52,1.259e-09,1.251e-09,0,8.877000000000001e-12
108,205.57,1.683e-08,1.672e-08,0,1.004e-10
109,205.62,2.002e-07,1.992e-07,0,1.01e-09
110,205.67,2.1219999999999998e-06,2.113e-06,0,9.031e-09
111,205.72,2.003e-05,1.996e-05,0,7.187000000000001e-08
112,205.77,0.0001685,0.000168,0,5.088e-07
113,205.82,0.0012619999999999999,0.001259,0,3.2039999999999997e-06
114,205.87,0.008427,0.008409,0,1.795e-05
115,205.92,0.05013,0.05004,0,8.947e-05
116,205.97,0.2657,0.2653,0,0.0003968
117,206.02,1.255,1.254,0,0.001567
118,206.07,5.2860000000000005,5.281000000000001,0,0.0055049999999999995
119,206.12,19.85,19.83,0,0.017230000000000002
120,206.17,66.44,66.39,0,0.04803
121,206.22,198.3,198.2,0,0.1194
122,206.27,528.2,527.9,0,0.2646
123,206.32,1255.0,1254.0,0,0.524
124,206.37,2661.0,2660.0,0,0.928
125,206.42,5035.0,5033.0,0,1.473
126,206.47,8506.0,8504.0,0,2.099
127,206.52,12830.0,12830.0,0,2.694
128,206.57,17290.0,17290.0,0,3.123
129,206.62,20810.0,20810.0,0,3.283
130,206.67,22390.0,22380.0,0,3.138
131,206.72,21520.0,21510.0,0,2.735
132,206.77,18490.0,18480.0,0,2.177
133,206.82,14200.0,14200.0,0,1.5830000000000002
134,206.87,9747.0,9746.0,0,1.051
135,206.92,5983.0,5982.0,0,0.6351
136,206.97,3283.0,3283.0,0,0.3485
137,207.02,1610.0,1610.0,0,0.173
138,207.07,706.2,706.2,0,0.07749
139,207.12,276.8,276.8,0,0.03121
140,207.17,96.96,96.95,0,0.01127
141,207.22,30.35,30.34,0,0.003646
142,207.27,8.484,8.482999999999999,0,0.0010539999999999998
143,207.32,2.119,2.1180000000000003,0,0.0002719
144,207.37,0.4724,0.4723,0,6.256e-05
145,207.42,0.09401,0.094,0,1.283e-05
146,207.47,0.0167,0.0167,0,2.344e-06
147,207.52,0.002647,0.002646,0,3.819e-07
148,207.57,0.0003742,0.0003741,0,5.614e-08
149,207.62,4.718e-05,4.717e-05,0,8.314000000000001e-09
150,207.67,5.305e-06,5.303e-06,0,2.197e-09
151,207.72,5.34e-07,5.325e-07,0,1.501e-09
152,207.77,6.424e-08,6.293999999999999e-08,0,1.303e-09
153,207.82,1.968e-07,1.957e-07,0,1.056e-09
154,207.87,2.126e-06,2.125e-06,0,7.655000000000001e-10
155,207.92,2.101e-05,2.101e-05,0,4.945e-10
156,207.97,0.00018559999999999998,0.00018559999999999998,0,2.8460000000000003e-10
157,208.02,0.001465,0.001465,0,1.459e-10
158,208.07,0.010329999999999999,0.010329999999999999,0,6.66e-11
159,208.12,0.06517,0.06517,0,2.708e-11
160,208.17,0.3676,0.3676,0,9.810000000000001e-12
161,208.22,1.855,1.855,0,3.165e-12
162,208.27,8.377,8.377,0,9.096e-13
163,208.32,33.87,33.87,0,2.328e-13
164,208.37,122.7,122.7,0,5.3079999999999993e-14
165,208.42,398.2,398.2,0,1.078e-14
166,208.47,1158.0,1158.0,0,1.95e-15
167,208.52,3021.0,3021.0,0,3.141e-16
168,208.57,7069.0,7069.0,0,4.508e-17
169,208.62,14840.0,14840.0,0,5.762000000000001e-18
170,208.67,27960.0,27960.0,0,6.56e-19
171,208.72,47260.0,47260.0,0,6.652e-20
172,208.77,71710.0,71710.0,0,6.008e-21
173,208.82,97650.0,97650.0,0,4.833999999999999e-22
174,208.87,119300.0,119300.0,0,3.4640000000000005e-23
175,208.92,130800.0,130800.0,0,2.2109999999999998e-24
176,208.97,128600.0,128600.0,0,1.257e-25
177,209.02,113400.0,113400.0,0,0
178,209.07,89590.0,89590.0,0,0
179,209.12,63430.0,63430.0,0,0
180,209.17,40220.0,40220.0,0,0
181,209.22,22830.0,22830.0,0,0
182,209.27,11600.0,11600.0,0,0
