,Wavelength,Sum,N I (9.5e-01),N II (5.3e-02),N III (2.7e-10)
188,211.12,2.25e-23,0,0,2.25e-23
189,211.17,9.402e-24,0,0,9.402e-24
190,211.22,3.712e-24,0,0,3.712e-24
191,211.27,1.872e-24,0,0,1.872e-24
192,211.32,2.241e-24,0,0,2.241e-24
193,211.37,4.621e-24,0,0,4.621e-24
194,211.42,9.79e-24,0,0,9.79e-24
195,211.47,1.9010000000000002e-23,0,0,1.9010000000000002e-23
196,211.52,3.3310000000000005e-23,0,0,3.3310000000000005e-23
197,211.57,5.256e-23,0,0,5.256e-23
198,211.62,7.465000000000001e-23,0,0,7.465000000000001e-23
199,211.67,9.549999999999999e-23,0,0,9.549999999999999e-23
200,211.72,3.138e-22,0,2.0330000000000003e-22,1.104e-22
201,211.77,3.493e-21,0,3.3769999999999997e-21,1.1650000000000001e-22
202,211.82,5.034e-20,0,5.0220000000000004e-20,1.144e-22
203,211.87,6.692e-19,0,6.691e-19,1.087e-22
204,211.92,7.984e-18,0,7.984e-18,1.06e-22
205,211.97,8.533e-17,0,8.533e-17,1.11e-22
206,212.02,8.167999999999999e-16,0,8.167999999999999e-16,1.236e-22
207,212.07,7.0030000000000004e-15,0,7.0030000000000004e-15,1.39e-22
208,212.12,5.377000000000001e-14,0,5.377000000000001e-14,1.495e-22
209,212.17,3.698e-13,0,3.698e-13,1.486e-22
210,212.22,2.278e-12,0,2.278e-12,1.3419999999999998e-22
211,212.27,1.2570000000000002e-11,0,1.2570000000000002e-11,1.0940000000000001e-22
212,212.32,6.212e-11,0,6.212e-11,8.018e-23
213,212.37,2.75e-10,0,2.75e-10,5.2829999999999997e-23
214,212.42,1.09e-09,0,1.09e-09,3.13e-23
215,212.47,3.871e-09,0,3.871e-09,1.6679999999999998e-23
216,212.52,1.2309999999999999e-08,0,1.2309999999999999e-08,8.007e-24
217,212.57,3.5069999999999996e-08,0,3.5069999999999996e-08,3.466e-24
218,212.62,8.946e-08,0,8.946e-08,1.354e-24
219,212.67,2.044e-07,0,2.044e-07,4.786e-25
220,212.72,4.1840000000000004e-07,0,4.1840000000000004e-07,1.5310000000000003e-25
