Wavelength;Al;Bb;Ca;Cc;Cll;Ff;Kk;li;Na;Nn;Oo;Ti;;
206.27;1,91E-08;0.00042;0,000000155;0,000228;0;0;0.01231;0;5,78E-29;0,000581;0,000000244;0.667;;
206.32;0,000000249;0.0009235;2040000;3480000000;0;0;0.01077;0;5,62E-29;0,000392;2040000;0.6494;;
206.37;28900000;0.001829;473000;0,00048;0;0;0.008657999999999999;0;5,08E-29;0,000234;1550000;0.6031;;
206.42;0,0000299;0.0032159999999999997;0,0000012;0,000601;0;0;0.006408;0;4,36E-29;0,000124;0,000000106;0.5428;;
206.47;2750000000;0.005016;27900000;0,000692;0;0;0.004364;0;3.7e-32;58500000;6,94E-08;0.4763;;
206.52;22600000000;0.006939;5800000;0,000744;0;0;0.002729;0;3,37E-16;244000000;5,44E-08;0.4055;;
206.57;0,0165;0.008512;1.07e-08;0,000756;0;0;0.00156;0;3,68E-29;0,00000905;7,01E-08;0.3324;;
206.62;0.00010700000000000001;0.009259;0,0000175;732000000;0;0;0.0008195;0;4,97E-29;29800000;0,000000129;0.2638;;
206.67;0.0006191;0.008931;254000000;0,000677;0;0;0.00042139999999999994;0;7,51E-29;868000;0,000000245;0.2102;;
206.72;0.003188;0.007639;0,0000326;0,000592;0;0;0.00029580000000000003;0;1,15E-28;0,000000225;0,000000426;0.1809;;
206.77;0.01462;0.005795000000000001;372000000;0,000484;0;0;0.0004433;0;1,67E-15;5,17E-08;0,000000663;0.1789;;
206.82;0.059660000000000005;0.0038979999999999996;3.77e-08;0,000366;0;0;0.000975;0;2,26E-15;1,05E-08;0,000000917;0.1991;;
206.87;0.2168;0.002325;0,0000339;0,000253;0;0;0.002118;0;2,83E-15;19000;0,00000112;0.2299;;
206.92;0.7013;0.00123;0,000027;0,000159;0;0;0.004152;5,34E-70;3,25E-28;3,06E-10;12200000;0.2571;;
206.97;43133;0.0005767999999999999;0,0000191;92100000;0;0;0.007241;1,63E-67;3,41E-28;4.35e-14;0,00000118;0.268;;
207.02;5178;0.0002399;121000000;0,0000531;0;0;0.01122;2,68E-67;3,26E-15;5,5E-12;10100000;0.2559;;
207.07;30256;0,0885;69300000;4.3e-08;0;0;0.015430000000000001;3,94E-65;2,86E-15;0,616;0,000000766;0.2221;;
207.12;43155;0,029;37100000;0,000069;0;0;0.01884;5,17E-77;2,31E-28;0,0626;516000;0.1743;;
207.17;43.45;0,0084;0,00000201;0,000153;0;0;0.020419999999999997;6.05e-79;1,74E-28;2E-17;3.08e-10;0.1233;;
207.22;69.98;0,00216;0,00000124;3350000000;0;0;0.01965;6,34E-63;1,24E-15;1,37E-13;0,000000163;0.07846;;
207.27;100.3;0,000493;921000;680000000;0;0;0.01679;5,92E-62;8,42E-17;11,4;7,67E-08;0.04485;;
207.32;128.1;0,0000996;757000;0,00127;0;0;0.01273;4,94E-60;5.61e-32;8,5;3.2e-11;0.02299;;
207.37;145.5;0,0000179;619000;0,00225;0;0;0.008567;3,68E-60;3,78E-29;5,61E-11;1,18E-08;0.01056;;
207.42;147.2;0,00000284;0,000000475;38100000000;0;0;0.005118;2,45E-58;2,68E-29;3,3E-10;3,88E-09;0.004346;;
207.47;132.6;4010000;0,000000334;0,00637;0;0;0.0027140000000000003;1,46E-70;2,08E-29;1,72E-09;1,13E-09;0.0016;;
207.52;106.3;5,01E-08;0,000000213;0,0106;0;0;0.001277;7,73E-58;1,75E-16;0,000000008;2.92e-13;0.0005269999999999999;;
207.57;75.91;5,56E-09;0,000000123;0,0175;0;0;0.0005334;3,66E-57;1,56E-16;331000;6,69E-11;0.0001553;;
207.62;48.24;5,47E-10;0,000000064;0,0277;0;0;0.00019769999999999998;1,55E-55;1,44E-29;0,000000122;1,36E-11;4.09e-05;;
207.67;27.29;4.77e-14;3,04E-08;0,0412;0;0;0,065;5,85E-55;1,36E-29;0,000000397;2.45e-15;0,00963;;
207.72;13.75;3,69E-12;1,46E-08;0,0565;0;0;0,019;1,98E-54;1,34E-29;0,00000115;3,92E-13;20300000000;;
207.77;6164;2,53;1.25e-11;0,0705;0;0;4.92e-06;5,95E-55;1,36E-29;0,00000298;5,56E-14;3810000000;;
207.82;2461;0,154;2,78E-08;0,0793;0;0;11300000000;1,6E-53;1,37E-16;6860000;0,00699;0,0000642;;
207.87;0.8746;8.3e-19;7.92e-11;0,0803;0;0;0,000231;3,84E-53;1,38E-29;0,000014;0,00078;0,00000964;;
207.92;0.2767;1,68E-13;0,00000021;0,073;0;0;0,0000418;8,23E-66;1,39E-29;0,0000255;7,73E-17;13000000;;
207.97;0.07794;1,41E-10;0,000000498;0,0597;0;0;67200000;1,57E-65;1,46E-16;0,0000413;6,79E-18;0,000000156;;
208.02;0.01955;4,89E-09;0,00000105;4.38e-05;0;0;0,000000958;2,68E-52;1,61E-16;0,0000593;5,29E-19;1,67E-08;;
208.07;0.004364;84000;0,00000196;0,0289;0;0;0,000000121;4,09E-53;1,8E-16;7.59e-08;0,000000366;16000;;
208.12;0.0008673;0,00000126;32600000;0,0173;0;0;136000;5,55E-53;1,97E-29;0,0000864;2,24E-08;1.37e-13;;
208.17;0.0001535;0,0000168;0,00000482;0,00929;0;0;1,36E-09;6,73E-53;2,03E-16;87400000;1,22E-22;105;;
208.22;0,0242;0,0002;0,00000632;0,00453;0;0;1.2e-13;7,28E-53;1,95E-29;0,0000786;4,72E-25;7,18E-13;;
208.27;3.39e-06;21200000000;73700000;0,00201;0;0;9,42;7,03E-52;1,77E-29;62900000;5,65E-13;4,39E-14;;
208.32;4240000000;0,02;0,00000764;811000000;0;0;6,56E-13;6,05E-53;1,59E-16;448000000;6,85E-25;2,56E-13;;
208.37;521000000;0.0001685;7030000;0,000299;0;0;4,06E-14;4,64E-53;1,52E-16;0,0000284;7,76E-25;3,57E-12;;
208.42;0,0000259;0.0012619999999999999;5750000;0,000101;0;0;2,22E-15;3,17E-52;1,64E-29;0,000016;7,97E-25;4.49e-14;;
208.47;1060000000;0.008427;0,00000418;0,0000313;0;0;1,06E-15;1,94E-65;1,95E-16;7.99e-09;7,31E-25;5,1E-10;;
208.52;645000000;0.05013;27000000;0,0000089;0;0;1,85E-14;1,06E-52;2,37E-29;0,00000356;5,97E-12;5,22E-09;;
208.57;0,00431;0.2657;1.56e-09;0,00000233;0;0;2,88;5,14E-54;2,8E-29;0,00000141;4,34E-25;4,82E-08;;
208.62;0,0281;1255;0,000000811;0,000000562;0;0;4,01E-12;2,23E-53;3.12e-32;523000;6,81E-20;4010000;;
208.67;0.0001685;5,286E+16;3960000;0,000000124;0;0;4,96E-11;8,61E-67;3,24E-29;2910000;0,0000123;30100000;;
208.72;0.0009132;19.85;2050000;252000;0;0;5,47E-10;2,97E-54;3.15e-32;0,000000649;0,000195;0,0000204;;
208.77;0.004439;66.44;1.38e-10;4,68E-09;0;0;5,37E-09;9,11E-56;2,92E-16;0,00000242;0,00274;0,000124;;
208.82;0.01932;198.3;1.27e-10;7,9E-10;0;0;469000;2,49E-55;2,71E-16;0,00000851;3,44E-15;0,000685;;
208.87;0.07525;528.2;0,000000133;1,21E-10;0;0;0,000000365;6,09E-57;2,78E-29;268000000;0,384;34000000000;;
208.92;0.2623;1255.0;1350000;1,68E-11;0;0;0,00000253;1,33E-56;3,53E-29;0,0000752;3,81;0,0152;;
208.97;0.8184;2661.0;1.28e-10;2,1E-12;0;0;0,0000156;2,57E-57;5,57E-29;1880000000;33,7;0,0615;;
209.02;2286;5035.0;1110000;2,36E-13;0;0;0,000086;4,46E-59;9,7E-29;0,000418;265;0.0002239;;
209.07;5721;8506.0;8,74E-08;2,39E-14;0;0;4210000000;6,88E-60;1,67E-28;0,000829;1,86E-10;0.0007351;;
209.12;30286;12830.0;6,27E-08;0,0228;0;0;1.84e-06;9,46E-61;2.66e-31;0,00147;1,16E-09;0.002177;;
209.17;25.76;17290.0;408000;0,00305;0;0;71600000000;1,15E-60;3,85E-15;23100000000;6,43E-09;0.005811;;
209.22;46.38;20810.0;241000;1,29E-16;0;0;0,0249;1,27E-61;5,01E-28;32500000000;3,18E-08;0.01399;;
209.27;74.87;22390.0;1,28E-08;9,15E-17;0;0;0,077;1,23E-62;5,81E-16;0,0041;1400000;0.03038;;
209.32;108.4;21520.0;61400;6,31E-17;0;0;0.0002133;1,07E-63;6,02E-28;0,00467;548000;0.059489999999999994;;
209.37;140.7;18490.0;2,64E-09;3,9E-17;0;0;0.0005289;8,31E-65;5,55E-15;0,00485;19100000;0.1051;;
209.42;163.9;14200.0;10200;2,14E-17;0;0;0.0011769999999999999;5,73E-67;4.56e-31;0,0047;5.93e-09;0.1673;;
209.47;171.3;9747.0;3,58E-10;0,000105;0;0;0.002361;3,53E-68;3,34E-15;0,00439;164000000;0.2402;;
209.52;160.6;5983.0;1,37E-10;4,55E-18;0;0;0.0042899999999999995;6,89E-71;2.18e-31;0,00412;404000000;0.311;;
209.57;135.1;3283.0;1,42E-10;0,0000176;0;0;0.007108;3,29E-37;1,28E-28;3.95e-06;88500000;0.3632;;
209.62;102.0;1610.0;3,97E-10;6,06E-19;0;0;0.01082;4,14E-23;7,06E-17;0,00385;0,000173;0.3825;;
209.67;69.08;706.2;1,21E-09;0,00000185;0;0;0.015269999999999999;4,77E-35;4.09e-32;0,00368;0,000301;0.3632;;
209.72;41.97;276.8;33100;0,000000504;0;0;0.02008;5E-34;3,11E-29;33500000000;0,000467;0.311;;
209.77;22.87;96.96;8090;0,000000122;0;0;0.024669999999999997;4,78E-21;3,29E-29;0,00282;0,000648;0.2402;;
209.82;43040;30.35;1,76E-08;2,63E-21;0;0;0.02829;4,17E-32;3,95E-29;0,00218;807000000;0.1673;;
209.87;4893;8484;342000;5,02E-22;0;0;0.0301;3,32E-18;4,58E-29;0,00154;0,000906;0.1051;;
209.92;1921;2119;5,91E-08;8,55E-23;0;0;0.029539999999999997;2,41E-17;4,82E-29;982000000;929000000;0.059489999999999994;;
209.97;0.6759;0.4724;9,11E-08;1,29E-10;0;0;0.02657;3,92E-12;4,54E-17;0,000569;0,000885;0.03038;;
210.02;0.213;0.09401;0,000000126;1,74E-11;0;0;0.02186;499;3,81E-29;2990000000;0,000803;0.01399;;
210.07;0.060129999999999996;0.0167;0,000000157;2,09E-25;0;0;0.0165;5,79E-10;2,85E-16;1.43e-07;0,000713;0.005811;;
210.12;0.0152;0.002647;0,000000182;2,22E-26;0;0;0.0116;6120;1,89E-16;6.37e-08;0,000629;0.002177;;
210.17;0.003439;0.0003742;0,000000203;2,1E-27;0;0;0.007849;5,91E-08;1,12E-16;0,0000303;546000000;0.0007351;;
210.22;0.0006963999999999999;0,0472;0,000000236;1,77E-28;0;0;0.005422;0,00000052;5,92E-30;0,000023;0,000457;0.0002239;;
210.27;0.0001262;0,00531;0,000000303;1,33E-16;0;0;0.004122;4.18e-09;2,78E-17;322000000;0,000359;0,0615;;
210.32;0,0205;5.34e-07;0,000000421;9E-31;0;0;0.0036270000000000004;0,0000306;1.16e-33;0,0000561;0,000259;0,0152;;
210.37;0,00297;0,0000642;0,000000593;1,11E-30;0;0;0.0036369999999999996;0,000205;4,31E-31;98100000;0,000169;34000000000;;
210.42;3850000000;0,000197;792000;1,73E-29;0;0;0.003901;0,00125;1,43E-31;1670000000;0,0000993;0,000685;;
210.47;0,0000446;0,00213;0,000000969;2,5E-28;0;0;0.00419;0,00695;4,21E-19;0,000278;0,0000522;0,000124;;
210.52;46200000;0,021;0,00000107;1,95E-17;0;0;0.004299;0,0353;1,1E-32;4480000000;244000000;0,0000204;;
210.57;4280000;0.00018559999999999998;0,00000105;3,62E-16;0;0;0.004105;0.00016340000000000001;2,58E-33;0,000689;0,0000102;30100000;;
210.62;4,77E-08;0.001465;926000;5,35E-15;0;0;0.0036299999999999995;0.0006907;5,35E-34;0,000993;0,00000381;4010000;;
210.67;0,000000175;0.010329999999999999;726000;7,04E-14;0;0;0.0030510000000000003;0.0026609999999999997;9,9E-35;13300000000;12600000;4,82E-08;;
210.72;0,00000216;0.06517;0,000000507;8,29E-13;0;0;0.00264;0.009362;1.63e-38;0,00166;3730000;5,22E-09;;
210.77;242000000;0.3676;3160000;8,71;0;0;0.002659;0.030039999999999997;2,39E-36;0,00196;9,82E-08;5,1E-10;;
210.82;0,000243;1855;0,000000175;8,18E-11;0;0;0.003259;0.08791;3,12E-24;23000000000;0,000000023;4.49e-14;;
210.87;0,00218;8377;86400;6.86e-13;0;0;0.0044;0.2348;3,62E-38;28100000000;4,8E-09;3,57E-12;;
210.92;0,0176;33.87;0,000000038;5140;0;0;0.005827000000000001;0.5718;3,74E-39;0,00369;8,91E-10;2,56E-13;;
210.97;0.0001261;122.7;1,49E-08;3,45E-08;0;0;0.007122;1271;3,44E-40;51200000000;1,47E-10;1.65e-17;;
211.02;0.0008107999999999999;398.2;5,19E-09;0,000000207;0;0;0.007853;2577;3,17E-28;0,00717;2.17e-14;4,03E-14;;
211.07;0.0046630000000000005;1158.0;16100;11100000;0;0;0.007751999999999999;4766;4,34E-29;0,00965;3,04E-12;5,79E-13;;
211.12;0.02399;3021.0;4.47e-13;0,0000053;0;0;0.006834999999999999;8042;4,38E-28;0,0122;17,3;7,54E-12;;
211.17;0.1104;7069.0;1,1E-10;2.27e-08;0;0;0.005382;14215;4,13E-26;0,0142;8,6E-12;88,8;;
211.22;0.4545;14840.0;2,42E-11;8.7e-08;0;0;0.0037909999999999997;17.39;3,48E-25;0,0153;4,69E-11;9,47E-10;;
211.27;1,674E+16;27960.0;4,74E-12;2980000000;0;0;0.002402;22.28;2,61E-24;0,015;2,29E-10;9.13e-12;;
211.32;5515;47260.0;0,826;915000000;0;0;0.001391;43216;1,75E-23;0,0136;1E-12;7.97e-11;;
211.37;16.25;71710.0;1,28E-13;0,00251;0;0;0.0007661;27.79;1,05E-22;0,0112;38900;0,00000063;;
