,Wavelength,Sum,Ca I (1.7e-02),Ca II (8.9e-01),Ca III (9.1e-02)
1614,284.04,1.874e-13,0,0,1.874e-13
1615,284.09,2.689e-13,0,0,2.689e-13
1616,284.14,3.662e-13,0,0,3.662e-13
1617,284.19,4.737e-13,0,0,4.737e-13
1618,284.24,5.827e-13,0,0,5.827e-13
1619,284.29,6.824e-13,0,0,6.824e-13
1620,284.34,7.613e-13,0,0,7.613e-13
1621,284.39,8.095e-13,0,0,8.095e-13
1622,284.44,8.203e-13,0,0,8.203e-13
1623,284.49,7.919e-13,0,0,7.919e-13
1624,284.54,7.278e-13,0,0,7.278e-13
1625,284.59,6.363e-13,0,0,6.363e-13
1626,284.64,5.285e-13,0,0,5.285e-13
1627,284.69,4.166e-13,0,0,4.166e-13
1628,284.74,3.112e-13,0,0,3.112e-13
1629,284.79,2.201e-13,0,0,2.201e-13
1630,284.84,1.472e-13,0,0,1.472e-13
1631,284.89,9.3e-14,0,0,9.3e-14
1632,284.94,5.5460000000000004e-14,0,0,5.5460000000000004e-14
1633,284.99,3.119e-14,0,0,3.119e-14
1634,285.04,1.654e-14,0,0,1.654e-14
1635,285.09,8.26e-15,0,0,8.26e-15
1636,285.14,3.885e-15,0,0,3.885e-15
1637,285.19,1.7210000000000002e-15,0,0,1.7210000000000002e-15
1638,285.24,7.181e-16,0,0,7.181e-16
1639,285.29,2.8680000000000005e-16,0,0,2.8680000000000005e-16
1640,285.34,1.3230000000000002e-16,0,0,1.3230000000000002e-16
1641,285.39,1.723e-16,0,0,1.723e-16
1642,285.44,6.242999999999999e-16,0,0,6.242999999999999e-16
1643,285.49,2.594e-15,0,0,2.594e-15
1644,285.54,1.0309999999999999e-14,0,0,1.0309999999999999e-14
1645,285.59,3.862e-14,0,0,3.862e-14
1646,285.64,1.361e-13,0,0,1.361e-13
1647,285.69,4.513e-13,0,0,4.513e-13
1648,285.74,1.408e-12,0,0,1.408e-12
1649,285.79,4.136e-12,0,0,4.136e-12
1650,285.84,1.143e-11,0,0,1.143e-11
1651,285.89,2.9719999999999995e-11,0,0,2.9719999999999995e-11
1652,285.94,7.273999999999999e-11,0,0,7.273999999999999e-11
1653,285.99,1.676e-10,0,0,1.676e-10
1654,286.04,3.635e-10,0,0,3.635e-10
1655,286.09,7.422999999999999e-10,0,0,7.422999999999999e-10
1656,286.14,1.428e-09,0,0,1.428e-09
1657,286.19,2.59e-09,0,0,2.59e-09
1658,286.24,4.429e-09,0,0,4.429e-09
1659,286.29,7.154000000000001e-09,0,0,7.154000000000001e-09
1660,286.34,1.093e-08,0,0,1.093e-08
1661,286.39,1.584e-08,0,0,1.584e-08
1662,286.44,2.185e-08,0,0,2.185e-08
1663,286.49,2.88e-08,0,0,2.88e-08
1664,286.54,3.6499999999999996e-08,0,0,3.6499999999999996e-08
1665,286.59,4.477e-08,0,0,4.477e-08
1666,286.64,5.348e-08,0,0,5.348e-08
1667,286.69,6.255e-08,0,0,6.255e-08
1668,286.74,7.181e-08,0,0,7.181e-08
1669,286.79,8.086e-08,0,0,8.086e-08
1670,286.84,8.895e-08,0,0,8.895e-08
1671,286.89,9.500999999999999e-08,0,0,9.500999999999999e-08
1672,286.94,9.79e-08,0,0,9.79e-08
1673,286.99,9.671e-08,0,0,9.671e-08
1674,287.04,9.112e-08,0,0,9.112e-08
1675,287.09,8.156000000000001e-08,0,0,8.156000000000001e-08
1676,287.14,6.915e-08,0,0,6.915e-08
1677,287.19,5.542000000000001e-08,0,0,5.542000000000001e-08
1678,287.24,4.192e-08,0,0,4.192e-08
1679,287.29,2.991e-08,0,0,2.991e-08
1680,287.34,2.012e-08,0,0,2.012e-08
1681,287.39,1.2780000000000001e-08,0,0,1.2780000000000001e-08
1682,287.44,7.711e-09,0,0,7.711e-09
1683,287.49,4.548e-09,0,0,4.548e-09
1684,287.54,2.893e-09,0,0,2.893e-09
1685,287.59,2.467e-09,0,0,2.467e-09
1686,287.64,3.184e-09,0,0,3.184e-09
1687,287.69,5.1759999999999995e-09,0,0,5.1759999999999995e-09
1688,287.74,8.752999999999999e-09,0,0,8.752999999999999e-09
1689,287.79,1.431e-08,0,0,1.431e-08
1690,287.84,2.2159999999999998e-08,0,0,2.2159999999999998e-08
1691,287.89,3.237e-08,0,0,3.237e-08
1692,287.94,4.453e-08,0,0,4.453e-08
1693,287.99,5.768e-08,0,0,5.768e-08
1694,288.04,7.036e-08,0,0,7.036e-08
1695,288.09,8.081e-08,0,0,8.081e-08
1696,288.14,8.738999999999999e-08,0,0,8.738999999999999e-08
1697,288.19,8.898e-08,0,0,8.898e-08
1698,288.24,8.531e-08,0,0,8.531e-08
1699,288.29,7.701e-08,0,0,7.701e-08
1700,288.34,6.545e-08,0,0,6.545e-08
1701,288.39,5.2379999999999997e-08,0,0,5.2379999999999997e-08
1702,288.44,3.947e-08,0,0,3.947e-08
1703,288.49,2.801e-08,0,0,2.801e-08
1704,288.54,1.871e-08,0,0,1.871e-08
1705,288.59,1.177e-08,0,0,1.177e-08
1706,288.64,6.97e-09,0,0,6.97e-09
1707,288.69,3.8869999999999995e-09,0,0,3.8869999999999995e-09
1708,288.74,2.041e-09,0,0,2.041e-09
1709,288.79,1.0090000000000001e-09,0,0,1.0090000000000001e-09
1710,288.84,4.698e-10,0,0,4.698e-10
1711,288.89,2.062e-10,0,0,2.062e-10
1712,288.94,8.593999999999999e-11,0,0,8.593999999999999e-11
1713,288.99,3.628e-11,0,0,3.628e-11
1714,289.04,2.238e-11,0,0,2.238e-11
1715,289.09,3.474e-11,0,0,3.474e-11
1716,289.14,8.688e-11,0,0,8.688e-11
1717,289.19,2.259e-10,0,0,2.259e-10
1718,289.24,5.601000000000001e-10,0,0,5.601000000000001e-10
1719,289.29,1.311e-09,0,0,1.311e-09
1720,289.34,2.8899999999999997e-09,0,0,2.8899999999999997e-09
1721,289.39,6.005000000000001e-09,0,0,6.005000000000001e-09
1722,289.44,1.1759999999999999e-08,0,0,1.1759999999999999e-08
1723,289.49,2.169e-08,0,0,2.169e-08
1724,289.54,3.7710000000000005e-08,0,0,3.7710000000000005e-08
1725,289.59,6.178e-08,0,0,6.178e-08
1726,289.64,9.535e-08,0,0,9.535e-08
1727,289.69,1.387e-07,0,0,1.387e-07
1728,289.74,1.9010000000000001e-07,0,0,1.9010000000000001e-07
1729,289.79,2.454e-07,0,0,2.454e-07
1730,289.84,2.986e-07,0,0,2.986e-07
1731,289.89,3.424e-07,0,0,3.424e-07
1732,289.94,3.699e-07,0,0,3.699e-07
1733,289.99,3.7659999999999997e-07,0,0,3.7659999999999997e-07
1734,290.04,3.612e-07,0,0,3.612e-07
1735,290.09,3.2649999999999997e-07,0,0,3.2649999999999997e-07
1736,290.14,2.781e-07,0,0,2.781e-07
1737,290.19,2.2320000000000001e-07,0,0,2.2320000000000001e-07
1738,290.24,1.688e-07,0,0,1.688e-07
1739,290.29,1.2029999999999999e-07,0,0,1.2029999999999999e-07
1740,290.34,8.091000000000001e-08,0,0,8.091000000000001e-08
1741,290.39,5.137e-08,0,0,5.137e-08
1742,290.44,3.09e-08,0,0,3.09e-08
1743,290.49,1.777e-08,0,0,1.777e-08
1744,290.54,9.984e-09,0,0,9.984e-09
1745,290.59,5.73e-09,0,0,5.73e-09
1746,290.64,3.6170000000000002e-09,0,0,3.6170000000000002e-09
1747,290.69,2.674e-09,0,0,2.674e-09
1748,290.74,2.287e-09,0,0,2.287e-09
1749,290.79,2.106e-09,0,0,2.106e-09
1750,290.84,1.9520000000000003e-09,0,0,1.9520000000000003e-09
1751,290.89,1.754e-09,0,0,1.754e-09
1752,290.94,1.5029999999999999e-09,0,0,1.5029999999999999e-09
1753,290.99,1.2180000000000001e-09,0,0,1.2180000000000001e-09
1754,291.04,9.328e-10,0,0,9.328e-10
1755,291.09,6.736e-10,0,0,6.736e-10
1756,291.14,4.5860000000000005e-10,0,0,4.5860000000000005e-10
1757,291.19,2.943e-10,0,0,2.943e-10
1758,291.24,1.78e-10,0,0,1.78e-10
1759,291.29,1.015e-10,0,0,1.015e-10
1760,291.34,5.464e-11,0,0,5.464e-11
1761,291.39,2.79e-11,0,0,2.79e-11
1762,291.44,1.4060000000000001e-11,0,0,1.4060000000000001e-11
1763,291.49,8.588e-12,0,0,8.588e-12
1764,291.54,1.024e-11,0,0,1.024e-11
1765,291.59,2.222e-11,0,0,2.222e-11
1766,291.64,5.54e-11,0,0,5.54e-11
1767,291.69,1.3469999999999998e-10,0,0,1.3469999999999998e-10
1768,291.74,3.106e-10,0,0,3.106e-10
1769,291.79,6.759e-10,0,0,6.759e-10
1770,291.84,1.3869999999999999e-09,0,0,1.3869999999999999e-09
1771,291.89,2.686e-09,0,0,2.686e-09
1772,291.94,4.905e-09,0,0,4.905e-09
1773,291.99,8.449e-09,0,0,8.449e-09
1774,292.04,1.3730000000000003e-08,0,0,1.3730000000000003e-08
1775,292.09,2.103e-08,0,0,2.103e-08
1776,292.14,3.04e-08,0,0,3.04e-08
1777,292.19,4.145e-08,0,0,4.145e-08
1778,292.24,5.3289999999999996e-08,0,0,5.3289999999999996e-08
1779,292.29,6.462999999999999e-08,0,0,6.462999999999999e-08
1780,292.34,7.394e-08,0,0,7.394e-08
1781,292.39,7.978e-08,0,0,7.978e-08
1782,292.44,8.119e-08,0,0,8.119e-08
1783,292.49,7.793e-08,0,0,7.793e-08
