,Wavelength,Sum,Cl I (8.1e-01),Cl II (1.9e-01),Cl III (2.8e-07)
4749,490.01,0.1988,0,0.1988,0
4750,490.06,0.1928,0,0.1928,0
4751,490.11,0.188,0,0.188,0
4752,490.16,0.1846,0,0.1846,0
4753,490.21,0.1825,0,0.1825,0
4754,490.26,0.1814,0,0.1814,0
4755,490.31,0.1807,0,0.1807,0
4756,490.36,0.1799,0,0.1799,0
4757,490.41,0.1784,0,0.1784,0
4758,490.46,0.1756,0,0.1756,0
4759,490.51,0.1711,0,0.1711,0
4760,490.56,0.1647,0,0.1647,0
4761,490.61,0.1565,0,0.1565,0
4762,490.66,0.1465,0,0.1465,0
4763,490.71,0.1353,0,0.1353,0
4764,490.76,0.1232,0,0.1232,0
4765,490.81,0.1109,0,0.1109,0
4766,490.86,0.09895,0,0.09895,0
4767,490.91,0.08799,0,0.08799,0
4768,490.96,0.0785,0,0.0785,0
4769,491.01,0.07087,0,0.07087,0
4770,491.06,0.0654,0,0.0654,0
4771,491.11,0.062220000000000004,0,0.062220000000000004,0
4772,491.16,0.06137000000000001,0,0.06137000000000001,0
4773,491.21,0.06273,0,0.06273,0
4774,491.26,0.06612,0,0.06612,0
4775,491.31,0.07121,0,0.07121,0
4776,491.36,0.07765,0,0.07765,0
4777,491.41,0.08501,0,0.08501,0
4778,491.46,0.09281,0,0.09281,0
4779,491.51,0.1006,0,0.1006,0
4780,491.56,0.1079,0,0.1079,0
4781,491.61,0.1142,0,0.1142,0
4782,491.66,0.1193,0,0.1193,0
4783,491.71,0.1229,0,0.1229,0
4784,491.76,0.1248,0,0.1248,0
4785,491.81,0.1249,0,0.1249,0
4786,491.86,0.1234,0,0.1234,0
4787,491.91,0.1204,0,0.1204,0
4788,491.96,0.116,0,0.116,0
4789,492.01,0.1107,0,0.1107,0
4790,492.06,0.1046,0,0.1046,0
4791,492.11,0.09815,0,0.09815,0
4792,492.16,0.09152,0,0.09152,0
4793,492.21,0.08492999999999999,0,0.08492999999999999,0
4794,492.26,0.07852,0,0.07852,0
4795,492.31,0.07237,0,0.07237,0
4796,492.36,0.06651,0,0.06651,0
4797,492.41,0.06094,0,0.06094,0
4798,492.46,0.05563,0,0.05563,0
4799,492.51,0.05053,0,0.05053,0
4800,492.56,0.04562,0,0.04562,0
4801,492.61,0.04087,0,0.04087,0
4802,492.66,0.036289999999999996,0,0.036289999999999996,0
4803,492.71,0.0319,0,0.0319,0
4804,492.76,0.027719999999999998,0,0.027719999999999998,0
4805,492.81,0.0238,0,0.0238,0
4806,492.86,0.02019,0,0.02019,0
4807,492.91,0.016919999999999998,0,0.016919999999999998,0
4808,492.96,0.01402,0,0.01402,0
4809,493.01,0.01151,0,0.01151,0
4810,493.06,0.009386,0,0.009386,0
4811,493.11,0.007640000000000001,0,0.007640000000000001,0
4812,493.16,0.0062450000000000006,0,0.0062450000000000006,0
4813,493.21,0.005166,0,0.005166,0
4814,493.26,0.004361,0,0.004361,0
4815,493.31,0.003785,0,0.003785,0
4816,493.36,0.003394,0,0.003394,0
4817,493.41,0.0031420000000000003,0,0.0031420000000000003,0
4818,493.46,0.002991,0,0.002991,0
4819,493.51,0.002903,0,0.002903,0
4820,493.56,0.002849,0,0.002849,0
4821,493.61,0.002804,0,0.002804,0
4822,493.66,0.00275,0,0.00275,0
4823,493.71,0.002673,0,0.002673,0
4824,493.76,0.0025670000000000003,0,0.0025670000000000003,0
4825,493.81,0.00243,0,0.00243,0
4826,493.86,0.002262,0,0.002262,0
4827,493.91,0.002069,0,0.002069,0
4828,493.96,0.001859,0,0.001859,0
4829,494.01,0.001638,0,0.001638,0
4830,494.06,0.001416,0,0.001416,0
4831,494.11,0.0012,0,0.0012,0
4832,494.16,0.0009974,0,0.0009974,0
4833,494.21,0.0008124,0,0.0008124,0
4834,494.26,0.0006486,0,0.0006486,0
4835,494.31,0.0005074,0,0.0005074,0
4836,494.36,0.000389,0,0.000389,0
4837,494.41,0.0002923,0,0.0002923,0
