,Wavelength,Sum,F II (1.0e+00),F III (1.8e-11)
1269,430.39,7.555e-06,7.555e-06,0
1270,430.44,5.78e-06,5.78e-06,0
1271,430.49,4.304e-06,4.304e-06,0
1272,430.54,3.1189999999999997e-06,3.1189999999999997e-06,0
1273,430.59,2.2e-06,2.2e-06,0
1274,430.64,1.511e-06,1.511e-06,0
1275,430.69,1.01e-06,1.01e-06,0
1276,430.74,6.566e-07,6.566e-07,0
1277,430.79,4.157e-07,4.157e-07,0
1278,430.84,2.5609999999999997e-07,2.5609999999999997e-07,0
1279,430.89,1.536e-07,1.536e-07,0
1280,430.94,8.967000000000001e-08,8.967000000000001e-08,0
1281,430.99,5.093999999999999e-08,5.093999999999999e-08,0
1282,431.04,2.8169999999999997e-08,2.8169999999999997e-08,0
1283,431.09,1.516e-08,1.516e-08,0
1284,431.14,7.943e-09,7.943e-09,0
1285,431.19,4.05e-09,4.05e-09,0
1286,431.24,2.0100000000000003e-09,2.0100000000000003e-09,0
1287,431.29,9.707e-10,9.707e-10,0
1288,431.34,4.564e-10,4.564e-10,0
1289,431.39,2.0880000000000002e-10,2.0880000000000002e-10,0
1290,431.44,9.299999999999999e-11,9.299999999999999e-11,0
1291,431.49,4.031e-11,4.031e-11,0
1292,431.54,1.701e-11,1.701e-11,0
1293,431.59,6.985e-12,6.985e-12,0
1294,431.64,2.7919999999999994e-12,2.7919999999999994e-12,0
1295,431.69,1.0859999999999998e-12,1.0859999999999998e-12,0
1296,431.74,4.112e-13,4.112e-13,0
1297,431.79,1.515e-13,1.515e-13,0
1298,431.84,5.436e-14,5.436e-14,0
1299,431.89,1.898e-14,1.898e-14,0
1300,431.94,6.449e-15,6.449e-15,0
1301,431.99,2.1329999999999998e-15,2.1329999999999998e-15,0
1302,432.04,6.866000000000001e-16,6.866000000000001e-16,0
1303,432.09,2.1509999999999998e-16,2.1509999999999998e-16,0
1304,432.14,6.560000000000001e-17,6.560000000000001e-17,0
1305,432.19,1.9470000000000002e-17,1.9470000000000002e-17,0
1306,432.24,5.6250000000000005e-18,5.6250000000000005e-18,0
1307,432.29,1.5819999999999997e-18,1.5819999999999997e-18,0
1308,432.34,4.3289999999999997e-19,4.3289999999999997e-19,0
1309,432.39,1.153e-19,1.153e-19,0
1310,432.44,2.99e-20,2.99e-20,0
1311,432.49,7.543999999999999e-21,7.543999999999999e-21,0
1312,441.99,1.517e-21,1.517e-21,0
1313,442.04,6.864e-21,6.864e-21,0
1314,442.09,2.562e-20,2.562e-20,0
1315,442.14,9.327e-20,9.327e-20,0
1316,442.19,3.311e-19,3.311e-19,0
1317,442.24,1.146e-18,1.146e-18,0
1318,442.29,3.868e-18,3.868e-18,0
1319,442.34,1.273e-17,1.273e-17,0
1320,442.39,4.087e-17,4.087e-17,0
1321,442.44,1.2790000000000002e-16,1.2790000000000002e-16,0
1322,442.49,3.9060000000000003e-16,3.9060000000000003e-16,0
1323,442.54,1.1630000000000002e-15,1.1630000000000002e-15,0
1324,442.59,3.375e-15,3.375e-15,0
1325,442.64,9.555e-15,9.555e-15,0
1326,442.69,2.638e-14,2.638e-14,0
1327,442.74,7.102000000000001e-14,7.102000000000001e-14,0
1328,442.79,1.865e-13,1.865e-13,0
1329,442.84,4.774e-13,4.774e-13,0
1330,442.89,1.192e-12,1.192e-12,0
1331,442.94,2.903e-12,2.903e-12,0
1332,442.99,6.892000000000001e-12,6.892000000000001e-12,0
1333,443.04,1.596e-11,1.596e-11,0
