,Wavelength,Sum,Na I (2.7e-02),Na II (9.7e-01),Na III (9.7e-16)
3443,397.73,1.2369999999999998e-11,1.2369999999999998e-11,0,0
3444,397.78,1.462e-11,1.462e-11,0,0
3445,397.83,1.674e-11,1.674e-11,0,0
3446,397.88,1.858e-11,1.858e-11,0,0
3447,397.93,1.9980000000000002e-11,1.9980000000000002e-11,0,0
3448,397.98,2.0820000000000002e-11,2.0820000000000002e-11,0,0
3449,398.03,2.1020000000000002e-11,2.1020000000000002e-11,0,0
3450,398.08,2.0559999999999998e-11,2.0559999999999998e-11,0,0
3451,398.13,1.948e-11,1.948e-11,0,0
3452,398.18,1.789e-11,1.789e-11,0,0
3453,398.23,1.5920000000000002e-11,1.5920000000000002e-11,0,0
3454,398.28,1.3719999999999999e-11,1.3719999999999999e-11,0,0
3455,398.33,1.147e-11,1.147e-11,0,0
3456,398.38,9.28e-12,9.28e-12,0,0
3457,398.43,7.277999999999999e-12,7.277999999999999e-12,0,0
3458,398.48,5.5310000000000006e-12,5.5310000000000006e-12,0,0
3459,398.53,4.073e-12,4.073e-12,0,0
3460,398.58,2.9079999999999997e-12,2.9079999999999997e-12,0,0
3461,398.63,2.014e-12,2.014e-12,0,0
3462,398.68,1.357e-12,1.357e-12,0,0
3463,398.73,8.956e-13,8.956e-13,0,0
3464,398.78,5.922e-13,5.922e-13,0,0
3465,398.83,4.142e-13,4.142e-13,0,0
3466,398.88,3.399e-13,3.399e-13,0,0
3467,398.93,3.593e-13,3.593e-13,0,0
3468,398.98,4.754e-13,4.754e-13,0,0
3469,399.03,7.04e-13,7.04e-13,0,0
3470,399.08,1.073e-12,1.073e-12,0,0
3471,399.13,1.619e-12,1.619e-12,0,0
3472,399.18,2.3849999999999996e-12,2.3849999999999996e-12,0,0
3473,399.23,3.413e-12,3.413e-12,0,0
3474,399.28,4.738e-12,4.738e-12,0,0
3475,399.33,6.377000000000001e-12,6.377000000000001e-12,0,0
3476,399.38,8.32e-12,8.32e-12,0,0
3477,399.43,1.052e-11,1.052e-11,0,0
3478,399.48,1.289e-11,1.289e-11,0,0
3479,399.53,1.531e-11,1.531e-11,0,0
3480,399.58,1.7629999999999998e-11,1.7629999999999998e-11,0,0
3481,399.63,1.9669999999999998e-11,1.9669999999999998e-11,0,0
3482,399.68,2.127e-11,2.127e-11,0,0
3483,399.73,2.229e-11,2.229e-11,0,0
3484,399.78,2.2649999999999997e-11,2.2649999999999997e-11,0,0
3485,399.83,2.231e-11,2.231e-11,0,0
3486,399.88,2.13e-11,2.13e-11,0,0
3487,399.93,1.974e-11,1.974e-11,0,0
3488,399.98,1.775e-11,1.775e-11,0,0
3489,400.03,1.553e-11,1.553e-11,0,0
3490,400.08,1.325e-11,1.325e-11,0,0
3491,400.13,1.111e-11,1.111e-11,0,0
3492,400.18,9.247e-12,9.247e-12,0,0
3493,400.23,7.797e-12,7.797e-12,0,0
3494,400.28,6.845e-12,6.845e-12,0,0
3495,400.33,6.445e-12,6.445e-12,0,0
3496,400.38,6.6120000000000005e-12,6.6120000000000005e-12,0,0
3497,400.43,7.332e-12,7.332e-12,0,0
3498,400.48,8.557e-12,8.557e-12,0,0
3499,400.53,1.02e-11,1.02e-11,0,0
3500,400.58,1.215e-11,1.215e-11,0,0
3501,400.63,1.427e-11,1.427e-11,0,0
3502,400.68,1.637e-11,1.637e-11,0,0
3503,400.73,1.829e-11,1.829e-11,0,0
3504,400.78,1.984e-11,1.984e-11,0,0
3505,400.83,2.0899999999999997e-11,2.0899999999999997e-11,0,0
3506,400.88,2.1350000000000003e-11,2.1350000000000003e-11,0,0
3507,400.93,2.114e-11,2.114e-11,0,0
3508,400.98,2.03e-11,2.03e-11,0,0
3509,401.03,1.8899999999999997e-11,1.8899999999999997e-11,0,0
3510,401.08,1.7050000000000002e-11,1.7050000000000002e-11,0,0
3511,401.13,1.4920000000000002e-11,1.4920000000000002e-11,0,0
3512,401.18,1.2650000000000001e-11,1.2650000000000001e-11,0,0
3513,401.23,1.0400000000000001e-11,1.0400000000000001e-11,0,0
3514,401.28,8.287e-12,8.287e-12,0,0
3515,401.33,6.401e-12,6.401e-12,0,0
3516,401.38,4.793e-12,4.793e-12,0,0
3517,401.43,3.4789999999999996e-12,3.4789999999999996e-12,0,0
3518,401.48,2.448e-12,2.448e-12,0,0
3519,401.53,1.6689999999999999e-12,1.6689999999999999e-12,0,0
3520,401.58,1.1040000000000001e-12,1.1040000000000001e-12,0,0
3521,401.63,7.073e-13,7.073e-13,0,0
3522,401.68,4.394e-13,4.394e-13,0,0
3523,401.73,2.646e-13,2.646e-13,0,0
3524,401.78,1.545e-13,1.545e-13,0,0
3525,401.83,8.743e-14,8.743e-14,0,0
3526,401.88,4.7960000000000005e-14,4.7960000000000005e-14,0,0
3527,401.93,2.55e-14,2.55e-14,0,0
3528,401.98,1.315e-14,1.315e-14,0,0
3529,402.03,6.569e-15,6.569e-15,0,0
3530,402.08,3.182e-15,3.182e-15,0,0
3531,402.13,1.494e-15,1.494e-15,0,0
3532,402.18,6.8e-16,6.8e-16,0,0
3533,402.23,3e-16,3e-16,0,0
3534,402.28,1.283e-16,1.283e-16,0,0
3535,402.33,5.32e-17,5.32e-17,0,0
3536,402.38,2.138e-17,2.138e-17,0,0
3537,402.43,8.331000000000001e-18,8.331000000000001e-18,0,0
3538,402.48,3.146e-18,3.146e-18,0,0
3539,402.53,1.1520000000000001e-18,1.1520000000000001e-18,0,0
