Wavelength,Sum

245.12	,1092
245.17	,1422
245.23	,1148
245.28	,1168
245.33	,1171
245.38	,1187
245.43	,977
245.48	,1291
245.53	,1262
245.59	,1288
245.64	,1417
245.69	,943
245.74	,1235
245.79	,1080
245.84	,1322
245.9	,1231
245.95	,1367
246	,1304
246.05	,1392
246.1	,1146
246.15	,1083
246.2	,1382
246.26	,1304
246.31	,1483
246.36	,1199
246.41	,1402
246.46	,1333
246.51	,993
246.56	,1417
246.62	,1382
246.67	,1413
246.72	,1099
246.77	,1166
246.82	,1259
246.87	,1351
246.92	,1335
246.98	,1273
247.03	,1050
247.08	,1015
247.13	,1328
247.18	,1043
247.23	,1151
247.28	,1047
247.34	,1072
247.39	,1218
247.44	,1174
247.49	,1097
247.54	,1128
247.59	,1022
247.64	,1176
247.7	,935
247.75	,1389
247.8	,968
247.85	,1220
247.9	,1324
247.95	,1184
248	,1264
248.06	,951
248.11	,1054
248.16	,1595
248.21	,1000
248.26	,1043
248.31	,1465
248.36	,1142
248.41	,1591
248.47	,1113
248.52	,1377
248.57	,1207
248.62	,1241
248.67	,1420
248.72	,1092
248.77	,1051
248.83	,1159
248.88	,1117
248.93	,1384
248.98	,1373
249.03	,1249
249.08	,1402
249.13	,1068
249.18	,1473
249.24	,1310
249.29	,1405
249.34	,1239
249.39	,1095
249.44	,1126
249.49	,1008
249.54	,1176
249.6	,1194
249.65	,1103
249.7	,1290
249.75	,984
249.8	,1007
249.85	,1199
249.9	,1376
249.95	,1219
250.01	,955
250.06	,1167
250.11	,1000
250.16	,1064
250.21	,1080
250.26	,905
250.31	,970
250.36	,1312
250.42	,1299
250.47	,1190
250.52	,1119
250.57	,1295
250.62	,901
250.67	,1423
250.72	,1130
250.77	,1063
250.83	,1008
250.88	,1138
250.93	,1034
250.98	,1093
251.03	,906
251.08	,1176
251.13	,1398
251.18	,1179
251.23	,1009
251.29	,1079
251.34	,1165
251.39	,1221
251.44	,1112
251.49	,1324
251.54	,1256
251.59	,1432
251.64	,1289
251.7	,1128
251.75	,1313
251.8	,1344
251.85	,1127
251.9	,1378
251.95	,1189
252	,1376
252.05	,1011
252.1	,1297
252.16	,1122
252.21	,1178
252.26	,1029
252.31	,1313
252.36	,1247
252.41	,1353
252.46	,1252
252.51	,1196
252.56	,901
252.62	,1281
252.67	,947
252.72	,1316
252.77	,1223
252.82	,1424
252.87	,1219
252.92	,1337
252.97	,1333
253.02	,1235
253.08	,1455
253.13	,1215
253.18	,1023
253.23	,1108
253.28	,996
253.33	,1041
253.38	,1142
253.43	,1271
253.48	,943
253.54	,1400
253.59	,1283
253.64	,1435
253.69	,1134
253.74	,1061
253.79	,1173
253.84	,1105
253.89	,1324
253.94	,1243
254	,1065
254.05	,1210
254.1	,1035
254.15	,980
254.2	,1024
254.25	,1050
254.3	,1066
254.35	,983
254.4	,1061
254.45	,1222
254.51	,1284
254.56	,1235
254.61	,1240
254.66	,1458
254.71	,1290
254.76	,1208
254.81	,948
254.86	,1222
254.91	,1148
254.96	,1431
255.02	,1303
255.07	,1254
255.12	,1298
255.17	,1130
255.22	,1206
255.27	,1225
255.32	,928
255.37	,1213
255.42	,1096
255.47	,1247
255.52	,1093
255.58	,892
255.63	,1249
255.68	,1162
255.73	,1284
255.78	,1142
255.83	,1083
255.88	,1132
255.93	,1128
255.98	,1296
256.03	,1034
256.08	,1163
256.14	,979
256.19	,1502
256.24	,1287
256.29	,1109
256.34	,1230
256.39	,1051
256.44	,1136
256.49	,1423
256.54	,1175
256.59	,1471
256.64	,1386
256.7	,1380
256.75	,1168
256.8	,1367
256.85	,1662
256.9	,1607
256.95	,2007
257	,1496
257.05	,1232
257.1	,1859
257.15	,1428
257.2	,1079
257.26	,1345
257.31	,1416
257.36	,1322
257.41	,1026
257.46	,1642
257.51	,1868
257.56	,1899
257.61	,2037
257.66	,1802
257.71	,1987
257.76	,1855
257.81	,1739
257.87	,1441
257.92	,1449
257.97	,1356
258.02	,1283
258.07	,1430
258.12	,1894
258.17	,1441
258.22	,1324
258.27	,1218
258.32	,1151
258.37	,1040
258.42	,1412
258.47	,935
258.53	,1167
258.58	,1164
258.63	,1650
258.68	,1207
258.73	,1055
258.78	,1228
258.83	,1208
258.88	,1296
258.93	,1297
258.98	,1060
259.03	,1294
259.08	,1233
259.13	,1558
259.19	,1157
259.24	,1386
259.29	,1040
259.34	,1490
259.39	,1318
259.44	,1230
259.49	,1206
259.54	,1438
259.59	,1134
259.64	,1271
259.69	,1490
259.74	,1401
259.79	,1402
259.84	,1499
259.9	,1592
259.95	,1311
260	,1681
260.05	,1453
260.1	,1598
260.15	,1494
260.2	,1170
260.25	,1330
260.3	,1377
260.35	,999
260.4	,1148
260.45	,1279
260.5	,1298
260.55	,1418
260.6	,1342
260.66	,1344
260.71	,1306
260.76	,1361
260.81	,1190
260.86	,1635
260.91	,1403
260.96	,1457
261.01	,1043
261.06	,1133
261.11	,1300
261.16	,1273
261.21	,1403
261.26	,1583
261.31	,1413
261.36	,1100
261.41	,1373
261.46	,1229
261.52	,1440
261.57	,1118
261.62	,1251
261.67	,1334
261.72	,1603
261.77	,1246
261.82	,1578
261.87	,1199
261.92	,1244
261.97	,1093
262.02	,1600
262.07	,1355
262.12	,1286
262.17	,1358
262.22	,1059
262.27	,1146
262.32	,1068
262.38	,1355
262.43	,1410
262.48	,1527
262.53	,1524
262.58	,1352
262.63	,1678
262.68	,1559
262.73	,1252
262.78	,1266
262.83	,1479
262.88	,1741
262.93	,1454
262.98	,1724
263.03	,1336
263.08	,2279
263.13	,1517
263.18	,1999
263.23	,1825
263.28	,1670
263.33	,1822
263.39	,2020
263.44	,1604
263.49	,1824
263.54	,1342
263.59	,1895
263.64	,1645
263.69	,1314
263.74	,1723
263.79	,1331
263.84	,1210
263.89	,1444
263.94	,1598
263.99	,1833
264.04	,1286
264.09	,1511
264.14	,1695
264.19	,1637
264.24	,1451
264.29	,1519
264.34	,1424
264.39	,1211
264.44	,1595
264.5	,1185
264.55	,1552
264.6	,1334
264.65	,1152
264.7	,1327
264.75	,1419
264.8	,1416
264.85	,1318
264.9	,1574
264.95	,1706
265	,1351
265.05	,1567
265.1	,1375
265.15	,1440
265.2	,1549
265.25	,1412
265.3	,1655
265.35	,1542
265.4	,1640
265.45	,1415
265.5	,1708
265.55	,1522
265.6	,1413
265.65	,1757
265.7	,1149
265.75	,1307
265.8	,1407
265.86	,1335
265.91	,1304
265.96	,1623
266.01	,1749
266.06	,1720
266.11	,1613
266.16	,1931
266.21	,1741
266.26	,1293
266.31	,1250
266.36	,1561
266.41	,1583
266.46	,1281
266.51	,1096
266.56	,1270
266.61	,1578
266.66	,1368
266.71	,1282
266.76	,1855
