,Wavelength,Sum,Mean Intensity
413,222.42,23.0,0.3
414,222.47,23.2,0.3
415,222.53,25.0,0.4
416,222.58,28.6,0.4
417,222.63,34.2,0.5
418,222.69,39.2,0.7
419,222.74,40.7,0.7
420,222.79,35.4,0.6
421,222.85,33.2,0.6
422,222.90,34.3,0.6
423,222.95,36.1,0.6
424,223.01,42.0,0.7
425,223.06,46.8,0.9
426,223.11,46.7,0.9
427,223.17,37.9,0.6
428,223.22,29.8,0.5
429,223.27,26.0,0.4
430,223.33,24.8,0.4
431,223.38,25.2,0.4
432,223.43,24.3,0.3
433,223.49,25.2,0.3
434,223.54,25.0,0.4
435,223.59,25.2,0.4
436,223.65,26.4,0.4
437,223.70,28.0,0.4
438,223.75,29.5,0.5
439,223.80,30.1,0.5
440,223.86,30.0,0.5
441,223.91,29.0,0.5
442,223.96,29.6,0.5
443,224.02,28.2,0.4
444,224.07,26.5,0.4
445,224.12,26.4,0.4
446,224.18,26.1,0.4
447,224.23,26.7,0.4
448,224.28,26.1,0.4
449,224.34,25.5,0.4
450,224.39,25.4,0.4
451,224.44,26.3,0.4
452,224.50,25.5,0.4
453,224.55,25.7,0.4
454,224.60,25.5,0.4
455,224.65,26.9,0.4
456,224.71,27.2,0.4
457,224.76,28.1,0.4
458,224.81,29.5,0.5
459,224.87,33.2,0.6
460,224.92,38.2,0.7
461,224.97,41.0,0.8
462,225.03,41.1,0.8
463,225.08,36.9,0.7
464,225.13,33.6,0.6
465,225.19,32.4,0.6
466,225.24,36.0,0.7
467,225.29,40.6,0.8
468,225.34,38.4,0.7
469,225.40,33.4,0.6
470,225.45,29.7,0.5
471,225.50,28.4,0.5
472,225.56,27.1,0.4
473,225.61,27.4,0.5
474,225.66,28.0,0.5
475,225.72,27.3,0.4
476,225.77,27.6,0.4
477,225.82,27.6,0.4
478,225.87,29.7,0.4
479,225.93,32.4,0.5
480,225.98,41.1,0.8
481,226.03,53.7,1.1
482,226.09,68.2,1.5
483,226.14,67.1,1.5
484,226.19,50.2,1.0
485,226.25,38.7,0.7
486,226.30,33.7,0.6
487,226.35,31.8,0.5
488,226.40,30.7,0.5
489,226.46,30.1,0.5
490,226.51,28.3,0.4
491,226.56,28.2,0.5
492,226.62,29.8,0.5
493,226.67,29.7,0.5
494,226.72,31.9,0.6
495,226.77,38.7,0.7
496,226.83,51.3,1.1
497,226.88,70.2,1.6
498,226.93,66.9,1.4
499,226.99,50.6,1.0
500,227.04,37.5,0.6
501,227.09,32.4,0.5
502,227.14,29.6,0.5
503,227.20,30.4,0.5
504,227.25,31.1,0.5
505,227.30,30.2,0.5
506,227.36,29.5,0.5
507,227.41,28.2,0.4
508,227.46,27.9,0.4
509,227.51,28.4,0.4
510,227.57,27.0,0.4
511,227.62,27.9,0.4
512,227.67,28.1,0.4
513,227.73,27.6,0.4
514,227.78,26.7,0.4
515,227.83,27.5,0.4
516,227.88,26.7,0.4
517,227.94,28.5,0.4
518,227.99,29.8,0.5
519,228.04,29.8,0.5
520,228.10,29.2,0.5
521,228.15,28.8,0.4
522,228.20,27.2,0.4
523,228.25,26.7,0.4
524,228.31,27.0,0.4
525,228.36,27.2,0.4
526,228.41,27.9,0.4
527,228.47,29.3,0.5
528,228.52,29.6,0.5
529,228.57,32.3,0.5
530,228.62,32.2,0.5
531,228.68,31.5,0.5
532,228.73,30.2,0.5
533,228.78,30.1,0.5
534,228.84,29.2,0.5
535,228.89,29.2,0.5
536,228.94,29.3,0.4
537,228.99,29.6,0.5
538,229.05,29.3,0.4
539,229.10,30.9,0.5
540,229.15,33.9,0.6
541,229.20,33.8,0.6
542,229.26,31.9,0.5
543,229.31,32.2,0.5
544,229.36,32.3,0.5
545,229.42,34.6,0.6
546,229.47,36.2,0.6
547,229.52,35.3,0.6
548,229.57,35.0,0.6
549,229.63,33.1,0.6
550,229.68,31.4,0.5
551,229.73,31.6,0.5
552,229.78,32.9,0.5
553,229.84,34.3,0.6
554,229.89,35.3,0.6
555,229.94,36.4,0.6
556,229.99,35.0,0.6
557,230.05,34.8,0.6
558,230.10,34.1,0.6
559,230.15,33.6,0.6
560,230.21,34.2,0.6
561,230.26,36.0,0.6
562,230.31,34.4,0.6
563,230.36,33.8,0.6
564,230.42,33.4,0.6
565,230.47,33.6,0.5
566,230.52,34.5,0.5
567,230.57,32.9,0.5
568,230.63,32.9,0.5
569,230.68,32.5,0.5
570,230.73,31.3,0.5
571,230.78,30.9,0.5
572,230.84,31.4,0.5
573,230.89,32.4,0.5
574,230.94,32.0,0.5
575,230.99,32.7,0.6
576,231.05,34.1,0.6
577,231.10,33.9,0.6
578,231.15,32.8,0.6
579,231.21,33.8,0.6
580,231.26,34.4,0.6
581,231.31,33.6,0.6
582,231.36,33.8,0.6
583,231.42,35.5,0.6
584,231.47,35.6,0.6
585,231.52,37.8,0.7
586,231.57,35.3,0.6
587,231.63,33.5,0.6
588,231.68,36.0,0.6
589,231.73,35.8,0.6
590,231.78,36.1,0.6
591,231.84,35.8,0.6
592,231.89,34.8,0.6
593,231.94,35.3,0.6
594,231.99,34.9,0.6
595,232.05,37.6,0.7
596,232.10,39.0,0.7
597,232.15,37.2,0.7
598,232.20,37.8,0.7
599,232.26,38.0,0.7
600,232.31,38.2,0.7
601,232.36,39.9,0.7
602,232.41,39.8,0.7
603,232.47,40.0,0.7
604,232.52,42.0,0.7
605,232.57,43.2,0.8
606,232.62,47.1,0.9
607,232.68,47.3,1.0
608,232.73,47.3,0.9
609,232.78,48.8,0.9
610,232.83,50.7,1.0
611,232.89,52.5,1.0
612,232.94,57.3,1.2
613,232.99,67.0,1.4
614,233.04,87.2,2.0
615,233.10,102.3,2.7
616,233.15,111.0,3.0
