,Wavelength,Sum,Al I (4.9e-02),Al II (9.5e-01),Al III (7.0e-04)
3053,409.98,0.005203,0,0.005203,2.245e-10
3054,410.03,0.007189,0,0.007189,1.1320000000000001e-10
3055,410.08,0.009642,0,0.009642,5.536999999999999e-11
3056,410.13,0.01256,0,0.01256,2.6289999999999997e-11
3057,410.18,0.01587,0,0.01587,1.212e-11
3058,410.23,0.01948,0,0.01948,5.419999999999999e-12
3059,410.28,0.0232,0,0.0232,2.353e-12
3060,410.33,0.02683,0,0.02683,9.912e-13
3061,410.38,0.03013,0,0.03013,4.053e-13
3062,410.43,0.03284,0,0.03284,1.608e-13
3063,410.48,0.03475,0,0.03475,6.195e-14
3064,410.53,0.0357,0,0.0357,2.316e-14
3065,410.58,0.03562,0,0.03562,8.4e-15
3066,410.63,0.03451,0,0.03451,2.958e-15
3067,410.68,0.0325,0,0.0325,1.0109999999999999e-15
3068,410.73,0.02975,0,0.02975,3.352e-16
3069,410.78,0.02652,0,0.02652,1.079e-16
3070,410.83,0.02306,0,0.02306,3.3700000000000004e-17
3071,410.88,0.01965,0,0.01965,1.022e-17
3072,410.93,0.0165,0,0.0165,3.007e-18
3073,410.98,0.0138,0,0.0138,8.587000000000001e-19
3074,411.03,0.01167,0,0.01167,2.38e-19
3075,411.08,0.010159999999999999,0,0.010159999999999999,6.402e-20
3076,411.13,0.009261,0,0.009261,1.671e-20
3077,411.18,0.008919,0,0.008919,4.235e-21
3078,411.23,0.009034,0,0.009034,1.041e-21
3079,411.28,0.009481999999999999,0,0.009481999999999999,2.4849999999999998e-22
3080,411.33,0.01012,0,0.01012,5.757e-23
3081,411.38,0.01081,0,0.01081,0
3082,411.43,0.01142,0,0.01142,0
3083,411.48,0.01184,0,0.01184,0
3084,411.53,0.01199,0,0.01199,0
3085,411.58,0.01183,0,0.01183,0
3086,411.63,0.011359999999999999,0,0.011359999999999999,0
3087,411.68,0.0106,0,0.0106,0
3088,411.73,0.009604999999999999,0,0.009604999999999999,0
3089,411.78,0.008456,0,0.008456,0
3090,411.83,0.0072299999999999994,0,0.0072299999999999994,0
3091,411.88,0.006002,0,0.006002,0
3092,411.93,0.004838,0,0.004838,0
3093,411.98,0.003786,0,0.003786,0
3094,412.03,0.002877,0,0.002877,0
3095,412.08,0.002123,0,0.002123,0
3096,412.13,0.001521,0,0.001521,0
3097,412.18,0.001058,0,0.001058,0
3098,412.23,0.0007142,0,0.0007142,0
3099,412.28,0.0004683,0,0.0004683,0
3100,412.33,0.00029810000000000004,0,0.00029810000000000004,0
3101,412.38,0.00018419999999999998,0,0.00018419999999999998,0
3102,412.43,0.0001105,0,0.0001105,0
3103,412.48,6.44e-05,0,6.44e-05,6.2830000000000004e-21
3104,412.53,3.643e-05,0,3.643e-05,3.4200000000000004e-20
3105,412.58,2.001e-05,0,2.001e-05,1.412e-19
3106,412.63,1.067e-05,0,1.067e-05,5.663e-19
3107,412.68,5.5229999999999995e-06,0,5.5229999999999995e-06,2.206e-18
3108,412.73,2.776e-06,0,2.776e-06,8.351e-18
3109,412.78,1.355e-06,0,1.355e-06,3.07e-17
3110,412.83,6.420000000000001e-07,0,6.420000000000001e-07,1.097e-16
3111,412.88,2.954e-07,0,2.954e-07,3.805e-16
3112,412.93,1.3189999999999998e-07,0,1.3189999999999998e-07,1.2820000000000001e-15
3113,412.98,5.7220000000000005e-08,0,5.7220000000000005e-08,4.1990000000000006e-15
3114,413.03,2.4090000000000003e-08,0,2.4090000000000003e-08,1.336e-14
3115,413.08,9.849e-09,0,9.849e-09,4.127e-14
3116,413.13,3.9090000000000005e-09,0,3.9090000000000005e-09,1.239e-13
3117,413.18,1.507e-09,0,1.5060000000000002e-09,3.612e-13
3118,413.23,5.647e-10,0,5.637e-10,1.023e-12
3119,413.28,2.076e-10,0,2.048e-10,2.816e-12
3120,413.33,7.975e-11,0,7.222e-11,7.526e-12
3121,413.38,4.428000000000001e-11,0,2.4729999999999998e-11,1.954e-11
3122,413.43,5.753e-11,0,8.224e-12,4.931e-11
3123,413.48,1.235e-10,0,2.655e-12,1.208e-10
3124,413.53,2.885e-10,0,8.32e-13,2.877e-10
3125,413.58,6.655e-10,0,2.532e-13,6.653e-10
3126,413.63,1.495e-09,0,7.481e-14,1.495e-09
3127,413.68,3.2619999999999997e-09,0,2.146e-14,3.2619999999999997e-09
3128,413.73,6.916e-09,0,5.977000000000001e-15,6.916e-09
3129,413.78,1.4240000000000002e-08,0,1.616e-15,1.4240000000000002e-08
3130,413.83,2.85e-08,0,4.243e-16,2.85e-08
3131,413.88,5.5389999999999995e-08,0,1.0820000000000001e-16,5.5389999999999995e-08
3132,413.93,1.0460000000000001e-07,0,2.677e-17,1.0460000000000001e-07
3133,413.98,1.9190000000000002e-07,0,6.4329999999999996e-18,1.9190000000000002e-07
3134,414.03,3.4189999999999996e-07,0,1.501e-18,3.4189999999999996e-07
3135,414.08,5.918e-07,0,0,5.918e-07
3136,414.13,9.952e-07,0,0,9.952e-07
3137,414.18,1.626e-06,0,0,1.626e-06
3138,414.23,2.58e-06,0,0,2.58e-06
3139,414.28,3.977e-06,0,0,3.977e-06
3140,414.33,5.957000000000001e-06,0,0,5.957000000000001e-06
3141,414.38,8.666e-06,0,0,8.666e-06
3142,414.43,1.225e-05,0,0,1.225e-05
3143,414.48,1.682e-05,0,0,1.682e-05
3144,414.53,2.243e-05,0,0,2.243e-05
3145,414.58,2.906e-05,0,0,2.906e-05
3146,414.63,3.658e-05,0,0,3.658e-05
3147,414.68,4.473e-05,0,0,4.473e-05
3148,414.73,5.314e-05,0,0,5.314e-05
3149,414.78,6.132e-05,0,0,6.132e-05
3150,414.83,6.874e-05,0,0,6.874e-05
3151,414.88,7.487e-05,0,0,7.487e-05
3152,414.93,7.92e-05,0,0,7.92e-05
3153,414.98,8.14e-05,0,0,8.14e-05
3154,415.03,8.127e-05,0,0,8.127e-05
3155,415.08,7.883e-05,0,0,7.883e-05
3156,415.13,7.427e-05,0,0,7.427e-05
3157,415.18,6.799e-05,0,0,6.799e-05
3158,415.23,6.045e-05,0,0,6.045e-05
3159,415.28,5.222e-05,0,0,5.222e-05
3160,415.33,4.382e-05,0,0,4.382e-05
3161,415.38,3.573e-05,0,0,3.573e-05
3162,415.43,2.829e-05,0,0,2.829e-05
3163,415.48,2.177e-05,0,0,2.177e-05
3164,415.53,1.627e-05,0,0,1.627e-05
3165,415.58,1.181e-05,0,0,1.181e-05
3166,415.63,8.331e-06,0,0,8.331e-06
3167,415.68,5.707999999999999e-06,0,0,5.707999999999999e-06
3168,415.73,3.8e-06,0,0,3.8e-06
3169,415.78,2.457e-06,0,0,2.457e-06
3170,415.83,1.544e-06,0,0,1.544e-06
3171,415.88,9.42e-07,0,0,9.42e-07
3172,415.93,5.584e-07,0,0,5.584e-07
3173,415.98,3.2159999999999997e-07,0,0,3.2159999999999997e-07
3174,416.03,1.799e-07,0,0,1.799e-07
3175,416.08,9.779999999999999e-08,0,0,9.779999999999999e-08
3176,416.13,5.164e-08,0,0,5.164e-08
3177,416.18,2.6489999999999994e-08,0,0,2.6489999999999994e-08
3178,416.23,1.32e-08,0,0,1.32e-08
3179,416.28,6.389e-09,0,0,6.389e-09
3180,416.33,3.004e-09,0,0,3.004e-09
