,Wavelength,Sum
1330,266.61,1633
1331,266.66,1444
1332,266.71,1420
1333,266.76,1869
1334,266.81,1157
1335,266.86,1238
1336,266.91,846
1337,266.96,530
1338,267.01,482
1339,267.06,466
1340,267.11,131
1341,267.16,231
1342,267.21,117
1343,267.26,219
1344,267.31,165
1345,267.36,141
1346,267.41,129
1347,267.46,114
1348,267.51,99
1349,267.56,108
1350,267.61,56
1351,267.67,-6
1352,267.72,81
1353,267.77,75
1354,267.82,70
1355,267.87,8
1356,267.92,61
1357,267.97,146
1358,268.02,167
1359,268.07,147
1360,268.12,156
1361,268.17,168
1362,268.22,265
1363,268.27,293
1364,268.32,347
1365,268.37,512
1366,268.42,662
1367,268.47,992
1368,268.52,1242
1369,268.57,1091
1370,268.62,1318
1371,268.67,989
1372,268.72,834
1373,268.77,229
1374,268.82,177
1375,268.87,179
1376,268.92,288
1377,268.97,393
1378,269.02,422
1379,269.07,444
1380,269.12,367
1381,269.17,498
1382,269.22,882
1383,269.27,1179
1384,269.32,1226
1385,269.37,1141
1386,269.42,1047
1387,269.47,1085
1388,269.52,799
1389,269.57,427
1390,269.62,214
1391,269.67,237
1392,269.72,370
1393,269.77,479
1394,269.82,581
1395,269.87,643
1396,269.92,456
1397,269.97,341
1398,270.02,377
1399,270.07,156
1400,270.12,177
1401,270.17,268
1402,270.22,302
1403,270.27,420
1404,270.32,550
1405,270.37,1008
1406,270.42,1056
1407,270.47,1139
1408,270.52,1216
1409,270.57,1223
1410,270.62,1066
1411,270.67,976
1412,270.72,1267
1413,270.77,1026
1414,270.82,1165
1415,270.87,1029
1416,270.92,800
1417,270.97,969
1418,271.02,899
1419,271.07,872
1420,271.12,986
1421,271.17,1336
1422,271.22,1348
1423,271.27,1161
1424,271.32,1566
1425,271.37,1261
1426,271.42,1382
1427,271.47,1570
1428,271.52,1772
1429,271.57,1773
1430,271.62,1388
1431,271.67,1055
1432,271.72,1121
1433,271.77,1220
1434,271.82,1544
1435,271.87,1260
1436,271.92,1433
1437,271.97,1586
1438,272.02,1970
1439,272.07,1412
1440,272.12,1530
1441,272.17,1516
1442,272.22,1623
1443,272.27,1547
1444,272.32,1156
1445,272.37,1159
1446,272.42,1230
1447,272.47,1237
1448,272.52,1219
1449,272.57,1332
1450,272.62,1081
1451,272.67,1287
1452,272.72,1274
1453,272.77,1895
1454,272.82,2360
1455,272.87,2244
1456,272.92,1647
1457,272.97,1429
1458,273.02,1177
1459,273.07,1138
1460,273.12,1298
1461,273.17,1389
1462,273.22,1232
1463,273.27,1098
1464,273.32,883
1465,273.37,1161
1466,273.42,1248
1467,273.47,1088
1468,273.52,1041
1469,273.57,1181
1470,273.62,1256
1471,273.67,1434
1472,273.72,1960
1473,273.77,2044
1474,273.82,2234
1475,273.87,1878
1476,273.92,1671
1477,273.97,2630
1478,274.02,2712
1479,274.07,2601
1480,274.12,2493
1481,274.17,2013
1482,274.22,2463
1483,274.27,1880
1484,274.32,2302
1485,274.37,2132
1486,274.42,2430
1487,274.47,2489
1488,274.52,2270
1489,274.57,1815
1490,274.62,2308
1491,274.67,3125
1492,274.72,2776
1493,274.77,3059
1494,274.81,3493
1495,274.86,2656
1496,274.91,2980
1497,274.96,3154
1498,275.01,3379
1499,275.06,3684
1500,275.11,3150
1501,275.16,2222
1502,275.21,2131
1503,275.26,2073
1504,275.31,1634
1505,275.36,2169
1506,275.41,2331
1507,275.46,2295
1508,275.51,2630
1509,275.56,2367
1510,275.61,2802
1511,275.66,2861
1512,275.71,3137
1513,275.76,2595
1514,275.81,2103
1515,275.86,1687
1516,275.91,1092
1517,275.96,1284
1518,276.01,1299
1519,276.06,1003
1520,276.11,987
1521,276.16,1072
1522,276.21,1252
1523,276.26,1253
1524,276.31,1291
1525,276.36,1071
1526,276.41,984
1527,276.46,886
1528,276.51,810
1529,276.56,877
1530,276.6,983
1531,276.65,1116
1532,276.7,1229
1533,276.75,2019
1534,276.8,1702
1535,276.85,1741
1536,276.9,2002
1537,276.95,1906
1538,277.0,1623
1539,277.05,1411
1540,277.1,1272
1541,277.15,1195
1542,277.2,1103
1543,277.25,987
1544,277.3,831
1545,277.35,742
1546,277.4,579
1547,277.45,475
1548,277.5,477
1549,277.55,645
1550,277.6,669
1551,277.65,485
1552,277.7,569
1553,277.75,546
1554,277.8,628
1555,277.85,940
1556,277.89,1306
1557,277.94,1140
1558,277.99,1305
1559,278.04,1124
1560,278.09,1154
1561,278.14,1177
1562,278.19,798
1563,278.24,792
