,Wavelength,Sum,Cu I (8.6e-02),Cu II (9.1e-01)
4022,485.26,12.65,0,12.65
4023,485.31,12.97,0,12.97
4024,485.36,13.09,0,13.09
4025,485.41,13.01,0,13.01
4026,485.46,12.73,0,12.73
4027,485.51,12.26,0,12.26
4028,485.56,11.61,0,11.61
4029,485.61,10.81,0,10.81
4030,485.66,9.898,0,9.898
4031,485.71,8.905,0,8.905
4032,485.76,7.87,0,7.87
4033,485.81,6.83,0,6.83
4034,485.86,5.819,0,5.819
4035,485.91,4.865,0,4.865
4036,485.96,3.991,0,3.991
4037,486.01,3.2110000000000003,0,3.2110000000000003
4038,486.06,2.535,0,2.535
4039,486.11,1.963,0,1.963
4040,486.16,1.494,0,1.494
4041,486.21,1.1179999999999999,0,1.1179999999999999
4042,486.26,0.827,0,0.827
4043,486.31,0.6103,0,0.6103
4044,486.36,0.4575,0,0.4575
4045,486.41,0.3593,0,0.3593
4046,486.46,0.3081,0,0.3081
4047,486.51,0.2983,0,0.2983
4048,486.56,0.3259,0,0.3259
4049,486.61,0.3887,0,0.3887
4050,486.66,0.4855,0,0.4855
4051,486.71,0.6157,0,0.6157
4052,486.76,0.7783,0,0.7783
4053,486.81,0.9718,0,0.9718
4054,486.86,1.193,0,1.193
4055,486.91,1.436,0,1.436
4056,486.96,1.695,0,1.695
4057,487.01,1.959,0,1.959
4058,487.06,2.218,0,2.218
4059,487.11,2.459,0,2.459
4060,487.16,2.6689999999999996,0,2.6689999999999996
4061,487.21,2.838,0,2.838
4062,487.26,2.9530000000000003,0,2.9530000000000003
4063,487.31,3.01,0,3.01
4064,487.36,3.0039999999999996,0,3.0039999999999996
4065,487.41,2.935,0,2.935
4066,487.46,2.8080000000000003,0,2.8080000000000003
4067,487.51,2.6310000000000002,0,2.6310000000000002
4068,487.56,2.415,0,2.415
4069,487.61,2.171,0,2.171
4070,487.66,1.912,0,1.912
4071,487.71,1.652,0,1.652
4072,487.76,1.402,0,1.402
4073,487.81,1.172,0,1.172
4074,487.86,0.9716,0,0.9716
4075,487.91,0.8065,0,0.8065
4076,487.96,0.6828,0,0.6828
4077,488.01,0.6052,0,0.6052
4078,488.06,0.5785,0,0.5785
4079,488.11,0.6073,0,0.6073
4080,488.16,0.6971,0,0.6971
4081,488.21,0.8534,0,0.8534
4082,488.26,1.082,0,1.082
4083,488.31,1.389,0,1.389
4084,488.36,1.777,0,1.777
4085,488.41,2.248,0,2.248
4086,488.46,2.798,0,2.798
4087,488.51,3.4189999999999996,0,3.4189999999999996
4088,488.56,4.096,0,4.096
4089,488.61,4.809,0,4.809
4090,488.66,5.53,0,5.53
4091,488.71,6.23,0,6.23
4092,488.76,6.875,0,6.875
4093,488.81,7.43,0,7.43
4094,488.86,7.8660000000000005,0,7.8660000000000005
4095,488.91,8.158,0,8.158
4096,488.96,8.29,0,8.29
4097,489.01,8.257,0,8.257
4098,489.06,8.067,0,8.067
4099,489.11,7.735,0,7.735
4100,489.16,7.292000000000001,0,7.292000000000001
4101,489.21,6.773,0,6.773
4102,489.26,6.22,0,6.22
4103,489.31,5.678,0,5.678
4104,489.36,5.19,0,5.19
4105,489.41,4.797,0,4.797
4106,489.46,4.534,0,4.534
4107,489.51,4.426,0,4.426
4108,489.56,4.493,0,4.493
4109,489.61,4.742,0,4.742
4110,489.66,5.172000000000001,0,5.172000000000001
4111,489.71,5.772,0,5.772
4112,489.76,6.527,0,6.527
4113,489.81,7.412999999999999,0,7.412999999999999
4114,489.86,8.408999999999999,0,8.408999999999999
4115,489.91,9.493,0,9.493
4116,489.96,10.65,0,10.65
4117,490.01,11.88,0,11.88
4118,490.06,13.2,0,13.2
4119,490.11,14.63,0,14.63
4120,490.16,16.23,0,16.23
4121,490.21,18.05,0,18.05
4122,490.26,20.17,0,20.17
4123,490.31,22.66,0,22.66
4124,490.36,25.59,0,25.59
4125,490.41,29.01,0,29.01
4126,490.46,32.94,0,32.94
4127,490.51,37.34,0,37.34
4128,490.56,42.15,0,42.15
4129,490.61,47.25,0,47.25
4130,490.66,52.46,0,52.46
4131,490.71,57.58,0,57.58
4132,490.76,62.39,0,62.39
4133,490.81,66.66,0,66.66
4134,490.86,70.19,0,70.19
4135,490.91,72.83,0,72.83
4136,490.96,74.47,0,74.47
4137,491.01,75.1,0,75.1
4138,491.06,74.77,0,74.77
4139,491.11,73.61,0,73.61
4140,491.16,71.8,0,71.8
4141,491.21,69.59,0,69.59
4142,491.26,67.2,0,67.2
4143,491.31,64.87,0,64.87
4144,491.36,62.79,0,62.79
4145,491.41,61.11,0,61.11
4146,491.46,59.88,0,59.88
4147,491.51,59.11,0,59.11
4148,491.56,58.7,0,58.7
4149,491.61,58.53,0,58.53
