Wavelength,Sum,Al I (4.9e-02),Al II (9.5e-01),Al III (7.0e-04)
568.48,3.052e-5,,,3.052e-5
568.53,4.356e-5,,,4.356e-5
568.58,6.123e-5,,,6.123e-5
568.63,8.476e-5,,,8.476e-5
568.68,1.155e-4,,,1.155e-4
568.73,1.551e-4,,,1.551e-4
568.78,2.049e-4,,,2.049e-4
568.83,2.667e-4,,,2.667e-4
568.88,3.418e-4,,,3.418e-4
568.93,4.313e-4,,,4.313e-4
568.98,5.360e-4,,,5.360e-4
569.03,6.558e-4,,,6.558e-4
569.08,7.902e-4,,,7.902e-4
569.13,9.376e-4,,,9.376e-4
569.18,1.096e-3,,,1.096e-3
569.23,1.260e-3,,,1.260e-3
569.28,1.428e-3,,,1.428e-3
569.33,1.593e-3,,,1.593e-3
569.38,1.750e-3,,,1.750e-3
569.43,1.893e-3,,,1.893e-3
569.48,2.017e-3,,,2.017e-3
569.53,2.115e-3,,,2.115e-3
569.58,2.185e-3,,,2.185e-3
569.63,2.222e-3,,,2.222e-3
569.68,2.226e-3,,,2.226e-3
569.73,2.195e-3,,,2.195e-3
569.78,2.132e-3,,,2.132e-3
569.83,2.038e-3,,,2.038e-3
569.88,1.920e-3,,,1.920e-3
569.93,1.780e-3,,,1.780e-3
569.98,1.625e-3,,,1.625e-3
570.03,1.461e-3,,,1.461e-3
570.08,1.294e-3,,,1.294e-3
570.13,1.128e-3,,,1.128e-3
570.18,9.685e-4,,,9.685e-4
570.23,8.188e-4,,,8.188e-4
570.28,6.816e-4,,,6.816e-4
570.33,5.587e-4,,,5.587e-4
570.38,4.510e-4,,,4.510e-4
570.43,3.585e-4,,,3.585e-4
570.48,2.807e-4,,,2.807e-4
570.53,2.164e-4,,,2.164e-4
570.58,1.643e-4,,,1.643e-4
570.63,1.230e-4,,,1.230e-4
570.68,9.077e-5,,,9.077e-5
570.73,6.622e-5,,,6.622e-5
570.78,4.794e-5,,,4.794e-5
570.83,3.477e-5,,,3.477e-5
570.88,2.573e-5,,,2.573e-5
570.93,2.006e-5,,,2.006e-5
