Wavelength,Sum,Cu I (8.6e-02),Cu II (9.1e-01)
240.18,3.579e+3,,3.579e+3
240.23,2.963e+3,,2.963e+3
240.28,2.405e+3,,2.405e+3
240.33,1.930e+3,,1.930e+3
240.38,1.529e+3,,1.529e+3
240.43,1.182e+3,,1.182e+3
240.48,8.777e+2,,8.777e+2
240.53,6.168e+2,,6.168e+2
240.58,4.056e+2,,4.056e+2
240.63,2.476e+2,,2.476e+2
240.68,1.396e+2,,1.396e+2
240.73,7.252e+1,,7.252e+1
240.78,3.463e+1,,3.463e+1
240.83,1.520e+1,,1.520e+1
240.88,6.140e+0,,6.140e+0
240.93,2.324e+0,,2.324e+0
240.98,9.138e-1,,9.138e-1
241.03,5.415e-1,,5.415e-1
241.08,6.361e-1,,6.361e-1
241.13,9.935e-1,,9.935e-1
241.18,1.542e+0,,1.542e+0
241.23,2.224e+0,,2.224e+0
241.28,2.951e+0,,2.951e+0
241.33,3.595e+0,,3.595e+0
241.38,4.019e+0,,4.019e+0
241.43,4.123e+0,,4.123e+0
241.48,3.883e+0,,3.883e+0
241.53,3.356e+0,,3.356e+0
241.58,2.663e+0,,2.663e+0
241.63,1.941e+0,,1.941e+0
241.68,1.305e+0,,1.305e+0
241.73,8.278e-1,,8.278e-1
241.78,5.546e-1,,5.546e-1
241.83,5.480e-1,,5.480e-1
241.88,9.673e-1,,9.673e-1
241.93,2.179e+0,,2.179e+0
241.98,4.884e+0,,4.884e+0
242.03,1.020e+1,,1.020e+1
242.08,1.963e+1,,1.963e+1
242.13,3.471e+1,,3.471e+1
242.18,5.637e+1,,5.637e+1
242.23,8.409e+1,,8.409e+1
242.28,1.152e+2,,1.152e+2
242.33,1.451e+2,,1.451e+2
242.38,1.679e+2,,1.679e+2
242.43,1.788e+2,,1.788e+2
242.48,1.755e+2,,1.755e+2
242.53,1.595e+2,,1.595e+2
242.58,1.353e+2,,1.353e+2
242.63,1.089e+2,,1.089e+2
242.68,8.558e+1,1.037e-13,8.558e+1
242.73,6.824e+1,1.191e-12,6.824e+1
242.78,5.718e+1,1.257e-11,5.718e+1
242.83,5.066e+1,1.220e-10,5.066e+1
242.88,4.616e+1,1.089e-9,4.616e+1
242.93,4.155e+1,8.942e-9,4.155e+1
242.98,3.578e+1,6.749e-8,3.578e+1
243.03,2.890e+1,4.684e-7,2.890e+1
243.08,2.165e+1,2.990e-6,2.165e+1
243.13,1.498e+1,1.755e-5,1.498e+1
