Wavelength,Sum,Mg I (3.8e-02),Mg II (9.5e-01),Mg III (8.2e-03)
416.23,2.335e+2,2.335e+2,,
416.28,3.069e+2,3.069e+2,,
416.33,3.920e+2,3.920e+2,,
416.38,4.865e+2,4.865e+2,,
416.43,5.866e+2,5.866e+2,,
416.48,6.873e+2,6.873e+2,,
416.53,7.824e+2,7.824e+2,,
416.58,8.653e+2,8.653e+2,,
416.63,9.299e+2,9.299e+2,,
416.68,9.709e+2,9.709e+2,,
416.73,9.850e+2,9.850e+2,,
416.78,9.709e+2,9.709e+2,,
416.84,9.187e+2,9.187e+2,,
416.89,8.500e+2,8.500e+2,,
416.94,7.641e+2,7.641e+2,,
416.99,6.674e+2,6.674e+2,,
417.04,5.664e+2,5.664e+2,,
417.09,4.670e+2,4.670e+2,,
417.14,3.742e+2,3.742e+2,,
417.19,2.913e+2,2.913e+2,,
417.24,2.203e+2,2.203e+2,,
417.29,1.619e+2,1.619e+2,,
417.34,1.156e+2,1.156e+2,,
417.39,8.018e+1,8.018e+1,,
417.44,5.405e+1,5.405e+1,,
417.49,3.540e+1,3.540e+1,,
417.54,2.252e+1,2.252e+1,,
417.59,1.393e+1,1.393e+1,,
417.64,8.366e+0,8.366e+0,,
417.69,4.883e+0,4.883e+0,,
417.74,2.769e+0,2.769e+0,,
417.79,1.526e+0,1.526e+0,,
417.84,8.169e-1,8.169e-1,,
417.89,4.250e-1,4.250e-1,,
417.94,2.148e-1,2.148e-1,,
417.99,1.055e-1,1.055e-1,,
418.04,5.033e-2,5.033e-2,,
418.09,2.333e-2,2.333e-2,,
418.14,1.051e-2,1.051e-2,,
418.19,4.600e-3,4.600e-3,,
418.24,1.956e-3,1.956e-3,,
418.29,8.081e-4,8.081e-4,,
418.34,3.244e-4,3.244e-4,,
418.39,1.265e-4,1.265e-4,,
418.44,4.795e-5,4.795e-5,,
418.49,1.766e-5,1.766e-5,,
418.54,6.317e-6,6.317e-6,,
418.59,2.196e-6,2.196e-6,,
418.64,7.417e-7,7.417e-7,,
418.69,2.434e-7,2.434e-7,,
418.74,7.761e-8,7.761e-8,,
418.79,2.404e-8,2.404e-8,,
418.84,7.237e-9,7.237e-9,,
418.89,2.117e-9,2.117e-9,,
418.94,6.015e-10,6.015e-10,,
418.99,1.661e-10,1.661e-10,,
419.04,4.455e-11,4.455e-11,,
419.09,1.161e-11,1.161e-11,,
419.14,2.941e-12,2.941e-12,,
419.19,7.237e-13,7.237e-13,,
419.24,1.730e-13,1.730e-13,,
432.59,4.497e-13,4.497e-13,,
432.64,1.751e-12,1.751e-12,,
432.69,6.644e-12,6.644e-12,,
432.74,2.454e-11,2.454e-11,,
432.79,8.831e-11,8.831e-11,,
432.84,3.095e-10,3.095e-10,,
432.89,1.056e-9,1.056e-9,,
432.94,3.511e-9,3.511e-9,,
432.99,1.137e-8,1.137e-8,,
433.04,3.585e-8,3.585e-8,,
433.09,1.101e-7,1.101e-7,,
433.14,3.293e-7,3.293e-7,,
433.19,9.592e-7,9.592e-7,,
433.24,2.721e-6,2.721e-6,,
433.29,7.520e-6,7.520e-6,,
433.34,2.024e-5,2.024e-5,,
433.39,5.305e-5,5.305e-5,,
433.44,1.354e-4,1.354e-4,,
433.49,3.367e-4,3.367e-4,,
433.54,8.154e-4,8.154e-4,,
433.59,1.923e-3,1.923e-3,,
433.64,4.417e-3,4.417e-3,,
433.69,9.882e-3,9.882e-3,,
433.74,2.153e-2,2.153e-2,,
433.79,4.569e-2,4.569e-2,,
433.84,9.444e-2,9.444e-2,,
433.89,1.901e-1,1.901e-1,,
433.94,3.727e-1,3.727e-1,,
433.99,7.117e-1,7.117e-1,,
434.04,1.323e+0,1.323e+0,,
434.09,2.397e+0,2.397e+0,,
434.14,4.229e+0,4.229e+0,,
434.19,7.265e+0,7.265e+0,,
434.24,1.216e+1,1.216e+1,1.294e-16,
434.29,1.981e+1,1.981e+1,5.033e-16,
434.34,3.145e+1,3.145e+1,1.906e-15,
434.39,4.861e+1,4.861e+1,7.035e-15,
434.44,7.320e+1,7.320e+1,2.529e-14,
434.49,1.073e+2,1.073e+2,8.856e-14,
434.54,1.533e+2,1.533e+2,3.022e-13,
434.59,2.132e+2,2.132e+2,1.004e-12,
434.64,2.889e+2,2.889e+2,3.252e-12,
434.69,3.811e+2,3.811e+2,1.026e-11,
434.74,4.898e+2,4.898e+2,3.152e-11,
434.79,6.130e+2,6.130e+2,9.437e-11,
434.84,7.472e+2,7.472e+2,2.752e-10,
434.89,8.871e+2,8.871e+2,7.820e-10,
434.94,1.026e+3,1.026e+3,2.164e-9,
434.99,1.155e+3,1.155e+3,5.837e-9,
435.04,1.267e+3,1.267e+3,1.533e-8,
435.09,1.353e+3,1.353e+3,3.924e-8,
435.14,1.408e+3,1.408e+3,9.783e-8,
435.19,1.427e+3,1.427e+3,2.376e-7,
435.24,1.408e+3,1.408e+3,5.623e-7,
435.29,1.353e+3,1.353e+3,1.296e-6,
435.34,1.267e+3,1.267e+3,2.911e-6,
435.39,1.155e+3,1.155e+3,6.369e-6,
435.44,1.026e+3,1.026e+3,1.358e-5,
435.49,8.871e+2,8.871e+2,2.819e-5,
435.54,7.472e+2,7.472e+2,5.703e-5,
435.59,6.130e+2,6.130e+2,1.124e-4,
435.64,4.898e+2,4.898e+2,2.158e-4,
435.69,3.811e+2,3.811e+2,4.036e-4,
435.74,2.889e+2,2.889e+2,7.354e-4,
435.79,2.132e+2,2.132e+2,1.306e-3,
435.84,1.533e+2,1.533e+2,2.258e-3,
435.89,1.073e+2,1.073e+2,3.804e-3,
435.94,7.320e+1,7.320e+1,6.245e-3,
435.99,4.862e+1,4.861e+1,9.986e-3,
436.04,3.146e+1,3.145e+1,1.556e-2,
436.09,1.984e+1,1.981e+1,2.361e-2,
436.14,1.219e+1,1.216e+1,3.491e-2,
436.19,7.315e+0,7.265e+0,5.029e-2,
436.24,4.299e+0,4.229e+0,7.058e-2,
436.29,2.494e+0,2.397e+0,9.650e-2,
436.34,1.452e+0,1.323e+0,1.285e-1,
436.39,8.785e-1,7.117e-1,1.668e-1,
436.44,5.836e-1,3.727e-1,2.109e-1,
436.49,4.498e-1,1.901e-1,2.597e-1,
436.54,4.061e-1,9.444e-2,3.116e-1,
436.59,4.100e-1,4.569e-2,3.643e-1,
436.64,4.364e-1,2.153e-2,4.148e-1,
436.69,4.701e-1,9.882e-3,4.603e-1,
436.74,5.019e-1,4.417e-3,4.975e-1,
436.79,5.258e-1,1.923e-3,5.239e-1,
436.84,5.384e-1,8.154e-4,5.376e-1,
436.89,5.378e-1,3.367e-4,5.374e-1,
436.94,5.237e-1,1.354e-4,5.236e-1,
436.99,4.975e-1,5.305e-5,4.974e-1,
437.04,4.612e-1,2.024e-5,4.612e-1,
437.09,4.182e-1,7.520e-6,4.182e-1,
437.14,3.729e-1,2.721e-6,3.729e-1,
437.19,3.306e-1,9.592e-7,3.306e-1,
437.24,2.979e-1,3.293e-7,2.979e-1,
437.29,2.839e-1,1.101e-7,2.839e-1,
437.34,3.011e-1,3.585e-8,3.011e-1,
437.39,3.674e-1,1.137e-8,3.674e-1,
437.44,5.092e-1,3.511e-9,5.092e-1,
437.49,7.642e-1,1.056e-9,7.642e-1,
437.54,1.185e+0,3.095e-10,1.185e+0,
437.59,1.844e+0,8.831e-11,1.844e+0,
437.64,2.833e+0,2.454e-11,2.833e+0,
437.69,4.268e+0,6.644e-12,4.268e+0,
437.74,6.281e+0,1.751e-12,6.281e+0,
437.79,9.020e+0,4.497e-13,9.020e+0,
437.84,1.263e+1,,1.263e+1,
437.89,1.725e+1,,1.725e+1,
437.94,2.298e+1,,2.298e+1,
437.99,2.986e+1,,2.986e+1,
438.04,3.786e+1,,3.786e+1,
438.09,4.687e+1,,4.687e+1,
438.14,5.669e+1,,5.669e+1,
438.19,6.707e+1,,6.707e+1,
438.24,7.770e+1,,7.770e+1,
438.29,8.828e+1,,8.828e+1,
438.34,9.856e+1,7.346e-16,9.856e+1,
438.39,1.084e+2,2.833e-15,1.084e+2,
438.44,1.177e+2,1.065e-14,1.177e+2,
438.49,1.265e+2,3.901e-14,1.265e+2,
438.54,1.351e+2,1.393e-13,1.351e+2,
438.59,1.436e+2,4.846e-13,1.436e+2,
438.64,1.523e+2,1.644e-12,1.523e+2,
438.69,1.612e+2,5.432e-12,1.612e+2,
438.74,1.701e+2,1.750e-11,1.701e+2,
438.79,1.790e+2,5.494e-11,1.790e+2,
438.84,1.872e+2,1.681e-10,1.872e+2,
438.89,1.941e+2,5.014e-10,1.941e+2,
438.94,1.989e+2,1.457e-9,1.989e+2,
438.99,2.010e+2,4.128e-9,2.010e+2,
439.04,1.997e+2,1.140e-8,1.997e+2,
439.09,1.948e+2,3.067e-8,1.948e+2,
439.14,1.862e+2,8.044e-8,1.862e+2,
439.19,1.741e+2,2.056e-7,1.741e+2,
439.24,1.591e+2,5.121e-7,1.591e+2,
439.29,1.421e+2,1.243e-6,1.421e+2,
439.34,1.238e+2,2.942e-6,1.238e+2,
439.39,1.052e+2,6.785e-6,1.052e+2,
439.44,8.727e+1,1.525e-5,8.727e+1,
439.49,7.056e+1,3.341e-5,7.056e+1,
439.54,5.562e+1,7.132e-5,5.562e+1,
439.59,4.274e+1,1.484e-4,4.274e+1,
439.64,3.201e+1,3.010e-4,3.201e+1,
439.69,2.336e+1,5.949e-4,2.336e+1,
439.74,1.662e+1,1.146e-3,1.662e+1,
439.79,1.152e+1,2.151e-3,1.152e+1,
439.84,7.783e+0,3.936e-3,7.779e+0,
